leak_ID,facility_ID,equipment_group,rate,lat,lon,status,days_active,days_active_prog_start,tagged,component,date_began,date_tagged,tagged_by_company,tagged_by_crew,init_detect_by,init_detect_date,requires_shutdown,date_repaired,repair_delay,OGI_sp_covered,cum_frac_leaks,cum_rate,cum_frac_rate
ABRAND00308_0000000025,ABRAND00308,2,1.1051953115055377,53.24,-116.45,active,3,0,False,unknown,2021-12-27 00:00:00,,,,,,False,,,,0.0,1.1051953115055377,0.02948294802069698
ABRAND00325_0000000027,ABRAND00325,2,0.9503746718164088,53.18,-116.28,active,44,0,False,unknown,2021-11-16 00:00:00,,,,,,False,,,1.0,0.0005428881650380022,2.0555699833219467,0.05483579448833217
ABRAND00054_0000000038,ABRAND00054,1,0.8230789787862601,55.13,-119.69,active,30,0,True,unknown,2021-11-30 00:00:00,2021-12-15 13:00:00,OGI,3.0,OGI,2021-12-15 13:00:00,False,,,1.0,0.0010857763300760044,2.878648962108207,0.07679281375529462
ABRAND00834_0000000027,ABRAND00834,3,0.7049809735343843,52.43,-114.42,active,14,0,False,unknown,2021-12-16 00:00:00,,,,,,False,,,,0.0016286644951140066,3.583629935642591,0.09559936964809933
ABRAND00619_0000000031,ABRAND00619,4,0.5027388706363048,52.9,-115.27,active,1,0,False,unknown,2021-12-29 00:00:00,,,,,,False,,,,0.002171552660152009,4.086368806278896,0.1090107765158707
ABRAND00028_0000000039,ABRAND00028,3,0.4685143753867871,57.69,-119.86,active,32,0,False,unknown,2021-11-28 00:00:00,,,,,,False,,,,0.002714440825190011,4.554883181665684,0.12150918727881642
ABRAND00336_0000000025,ABRAND00336,1,0.34380388274647966,53.19,-116.23,active,11,0,False,unknown,2021-12-19 00:00:00,,,,,,False,,,,0.003257328990228013,4.898687064412163,0.13068073541949768
ABRAND00256_0000000032,ABRAND00256,1,0.34359297605570005,53.5,-117.74,active,24,0,False,unknown,2021-12-06 00:00:00,,,,,,False,,,,0.003800217155266015,5.242280040467864,0.13984665726866582
ABRAND00467_0000000032,ABRAND00467,1,0.3422471985733584,53.5,-115.82,active,55,0,True,unknown,2021-11-05 00:00:00,2021-12-22 08:00:00,OGI,2.0,OGI,2021-12-22 08:00:00,False,,,1.0,0.004343105320304018,5.584527239041222,0.1489766782348441
ABRAND00922_0000000014,ABRAND00922,1,0.32599608909156735,52.7,-114.21,active,90,0,False,unknown,2021-10-01 00:00:00,,,,,,False,,,1.0,0.00488599348534202,5.910523328132789,0.15767317346023937
ABRAND00204_0000000036,ABRAND00204,1,0.3145324415535776,54.23,-118.75,active,52,0,False,unknown,2021-11-08 00:00:00,,,,,,False,,,1.0,0.005428881650380022,6.225055769686366,0.16606385656268083
ABRAND00427_0000000037,ABRAND00427,1,0.25431832657271464,53.9,-115.91,active,41,0,False,unknown,2021-11-19 00:00:00,,,,,,False,,,,0.005971769815418024,6.479374096259081,0.17284822664188415
ABRAND00404_0000000033,ABRAND00404,1,0.24887844002557077,53.12,-115.98,active,47,0,True,unknown,2021-11-13 00:00:00,2021-12-14 13:00:00,OGI,2.0,OGI,2021-12-14 13:00:00,False,,,1.0,0.006514657980456026,6.728252536284652,0.1794874785771375
ABRAND01153_0000000025,ABRAND01153,2,0.2321674023127755,54.87,-110.51,active,4,0,False,unknown,2021-12-26 00:00:00,,,,,,False,,,,0.007057546145494029,6.960419938597427,0.18568093541072045
ABRAND00371_0000000033,ABRAND00371,2,0.22819664954586602,53.18,-116.08,active,64,0,False,unknown,2021-10-27 00:00:00,,,,,,False,,,0.0,0.00760043431053203,7.188616588143293,0.19176846572053777
ABRAND00487_0000000029,ABRAND00487,1,0.21804867773819114,53.65,-115.76,active,73,0,False,unknown,2021-10-18 00:00:00,,,,,,False,,,1.0,0.008143322475570033,7.406665265881484,0.1975852817754117
ABRAND00145_0000000031,ABRAND00145,3,0.21029423079560713,55.56,-119.15,active,2,0,False,unknown,2021-12-28 00:00:00,,,,,,False,,,,0.008686210640608035,7.616959496677091,0.20319523488601016
ABRAND00014_0000000034,ABRAND00014,1,0.18497223225150894,54.94,-119.91,active,25,0,False,unknown,2021-12-05 00:00:00,,,,,,False,,,,0.009229098805646038,7.8019317289286,0.20812968099881038
ABRAND00053_0000000029,ABRAND00053,4,0.16988722001307754,54.78,-119.69,active,4,0,False,unknown,2021-12-26 00:00:00,,,,,,False,,,,0.00977198697068404,7.971818948941677,0.21266170898054615
ABRAND00036_0000000035,ABRAND00036,4,0.16591032628595723,54.89,-119.82,active,63,0,False,unknown,2021-10-28 00:00:00,,,,,,False,,,0.0,0.010314875135722042,8.137729275227635,0.21708764661805055
ABRAND01000_0000000033,ABRAND01000,1,0.16581963952164966,52.84,-113.93,active,87,0,False,unknown,2021-10-04 00:00:00,,,,,,False,,,0.0,0.010857763300760045,8.303548914749284,0.22151116503324153
ABRAND00764_0000000023,ABRAND00764,5,0.16256869319659792,52.61,-114.64,active,25,0,True,unknown,2021-12-05 00:00:00,2021-12-14 10:30:00,OGI,3.0,OGI,2021-12-14 10:30:00,False,,,1.0,0.011400651465798045,8.46611760794588,0.22584795897491933
ABRAND00512_0000000033,ABRAND00512,3,0.16243496557350937,52.98,-115.67,active,91,0,False,unknown,2021-09-30 00:00:00,,,,,,False,,,1.0,0.011943539630836048,8.628552573519391,0.2301811855068195
ABRAND01150_0000000029,ABRAND01150,1,0.1598753253894923,50.58,-110.53,active,39,0,False,unknown,2021-11-21 00:00:00,,,,,,False,,,,0.01248642779587405,8.788427898908884,0.23444612932189
ABRAND00282_0000000025,ABRAND00282,1,0.15852488335167259,53.96,-117.43,active,8,0,False,unknown,2021-12-22 00:00:00,,,,,,False,,,,0.013029315960912053,8.946952782260556,0.23867504781908994
ABRAND00759_0000000022,ABRAND00759,3,0.1559111394912445,52.56,-114.65,active,11,0,False,unknown,2021-12-19 00:00:00,,,,,,False,,,,0.013572204125950055,9.102863921751801,0.24283424029268647
ABRAND01058_0000000033,ABRAND01058,1,0.15338582563623326,56.27,-112.85,active,0,0,False,unknown,2021-12-30 00:00:00,,,,,,False,,,,0.014115092290988058,9.256249747388035,0.2469260657621452
ABRAND00554_0000000030,ABRAND00554,2,0.15268274914285968,52.85,-115.53,active,47,0,False,unknown,2021-11-13 00:00:00,,,,,,False,,,,0.01465798045602606,9.408932496530895,0.25099913548092995
ABRAND00118_0000000022,ABRAND00118,3,0.14878517803514488,55.33,-119.33,active,61,0,True,unknown,2021-10-30 00:00:00,2021-12-23 10:30:00,OGI,1.0,OGI,2021-12-23 10:30:00,False,,,1.0,0.01520086862106406,9.557717674566039,0.25496823092007426
ABRAND00606_0000000032,ABRAND00606,1,0.1347861849268712,53.3,-115.3,active,19,0,False,unknown,2021-12-11 00:00:00,,,,,,False,,,,0.015743756786102063,9.69250385949291,0.25856387961921107
ABRAND00355_0000000031,ABRAND00355,1,0.13332699307494295,53.15,-116.13,active,37,0,False,unknown,2021-11-23 00:00:00,,,,,,False,,,,0.016286644951140065,9.825830852567853,0.2621206019158607
ABRAND00404_0000000035,ABRAND00404,2,0.1308304431661152,53.12,-115.98,active,26,0,True,unknown,2021-12-04 00:00:00,2021-12-14 13:00:00,OGI,2.0,OGI,2021-12-14 13:00:00,False,,,1.0,0.016829533116178068,9.956661295733968,0.26561072453512585
ABRAND00832_0000000036,ABRAND00832,3,0.12945737933590618,52.39,-114.42,active,42,0,False,unknown,2021-11-18 00:00:00,,,,,,False,,,,0.01737242128121607,10.086118675069873,0.2690642183620738
ABRAND00775_0000000030,ABRAND00775,5,0.1288057373114542,51.97,-114.59,active,48,0,False,unknown,2021-11-12 00:00:00,,,,,,False,,,0.0,0.017915309446254073,10.214924412381327,0.272500328539512
ABRAND00028_0000000038,ABRAND00028,4,0.12859896400776216,57.69,-119.86,active,55,0,False,unknown,2021-11-05 00:00:00,,,,,,False,,,,0.018458197611292075,10.34352337638909,0.2759309226905055
ABRAND00175_0000000039,ABRAND00175,1,0.12511028208259087,55.34,-118.94,active,28,0,False,unknown,2021-12-02 00:00:00,,,,,,False,,,,0.019001085776330078,10.468633658471681,0.2792684503700891
ABRAND00913_0000000034,ABRAND00913,1,0.1233206217487002,52.85,-114.23,active,2,0,False,unknown,2021-12-28 00:00:00,,,,,,False,,,,0.01954397394136808,10.591954280220381,0.28255823584334094
ABRAND00556_0000000026,ABRAND00556,5,0.12180282384565853,53.17,-115.53,active,3,0,False,unknown,2021-12-27 00:00:00,,,,,,False,,,,0.020086862106406082,10.71375710406604,0.2858075314988968
ABRAND00405_0000000027,ABRAND00405,2,0.12098922661563956,53.06,-115.97,active,39,0,False,unknown,2021-11-21 00:00:00,,,,,,False,,,0.0,0.020629750271444085,10.83474633068168,0.289035123076818
ABRAND00056_0000000013,ABRAND00056,1,0.11839136852615606,54.91,-119.68,active,24,0,True,unknown,2021-12-06 00:00:00,2021-12-17 13:00:00,OGI,3.0,OGI,2021-12-17 13:00:00,False,,,1.0,0.021172638436482087,10.953137699207836,0.29219341241085517
ABRAND01016_0000000024,ABRAND01016,2,0.11177321096573482,53.74,-113.8,active,20,0,False,unknown,2021-12-10 00:00:00,,,,,,False,,,,0.02171552660152009,11.064910910173571,0.29517515123538934
ABRAND00882_0000000035,ABRAND00882,2,0.11132614207059201,52.56,-114.29,active,5,0,False,unknown,2021-12-25 00:00:00,,,,,,False,,,,0.02225841476655809,11.176237052244163,0.2981449637434978
ABRAND00283_0000000032,ABRAND00283,2,0.10620171583228712,54.11,-117.41,active,66,0,False,unknown,2021-10-25 00:00:00,,,,,,False,,,0.0,0.02280130293159609,11.28243876807645,0.3009780735431827
ABRAND00105_0000000039,ABRAND00105,2,0.10615484314190989,55.84,-119.42,active,27,0,True,unknown,2021-12-03 00:00:00,2021-12-18 10:30:00,OGI,3.0,OGI,2021-12-18 10:30:00,False,,,1.0,0.023344191096634093,11.38859361121836,0.303809932934836
ABRAND01166_0000000020,ABRAND01166,3,0.10614185025492727,54.76,-110.4,active,7,0,False,unknown,2021-12-23 00:00:00,,,,,,False,,,,0.023887079261672096,11.494735461473287,0.3066414457193263
