leak_ID,facility_ID,equipment_group,rate,lat,lon,status,days_active,days_active_prog_start,tagged,component,date_began,date_tagged,tagged_by_company,tagged_by_crew,init_detect_by,init_detect_date,requires_shutdown,date_repaired,repair_delay,OGI_sp_covered,cum_frac_leaks,cum_rate,cum_frac_rate
ABRAND00604_0000000006,ABRAND00604,1,0.5790439006209771,53.32,-115.31,active,0,0,False,unknown,2021-12-30 00:00:00,,,,,,False,,,,0.0,0.5790439006209771,0.09179993831641135
ABRAND00839_0000000008,ABRAND00839,1,0.43273167740102025,53.02,-114.39,active,6,0,False,unknown,2021-12-24 00:00:00,,,,,,False,,,,0.004081632653061225,1.0117755780219975,0.16040396169075197
ABRAND00345_0000000005,ABRAND00345,3,0.35317207466331274,53.09,-116.19,active,31,0,False,unknown,2021-11-29 00:00:00,,,,,,False,,,,0.00816326530612245,1.3649476526853102,0.21639483670800383
ABRAND00691_0000000004,ABRAND00691,4,0.2874077492052354,53.03,-115.02,active,35,0,False,unknown,2021-11-25 00:00:00,,,,,,False,,,,0.012244897959183675,1.6523554018905455,0.26195962656315047
ABRAND00719_0000000006,ABRAND00719,4,0.2750611220992566,52.52,-114.86,active,79,0,True,unknown,2021-10-12 00:00:00,2021-12-20 10:30:00,OGI,3.0,OGI,2021-12-20 10:30:00,False,,,1.0,0.0163265306122449,1.9274165239898022,0.3055670180146025
ABRAND00263_0000000009,ABRAND00263,1,0.20880527132392793,53.63,-117.63,active,12,0,True,unknown,2021-12-18 00:00:00,2021-12-18 08:00:00,OGI,1.0,OGI,2021-12-18 08:00:00,False,,,1.0,0.020408163265306124,2.1362217953137304,0.33867039930766457
ABRAND00201_0000000007,ABRAND00201,3,0.1850119733301259,54.53,-118.76,active,47,0,False,unknown,2021-11-13 00:00:00,,,,,,False,,,,0.02448979591836735,2.3212337686438564,0.3680016602384663
ABRAND00142_0000000005,ABRAND00142,1,0.15701413477672732,55.08,-119.17,active,9,0,True,unknown,2021-12-21 00:00:00,2021-12-22 13:00:00,OGI,1.0,OGI,2021-12-22 13:00:00,False,,,1.0,0.028571428571428574,2.4782479034205838,0.3928942251577247
ABRAND00295_0000000005,ABRAND00295,1,0.11201141331199412,54.87,-117.13,active,16,0,False,unknown,2021-12-14 00:00:00,,,,,,False,,,,0.0326530612244898,2.590259316732578,0.4106521893151018
ABRAND00448_0000000009,ABRAND00448,2,0.10411961460386641,53.27,-115.87,active,3,0,False,unknown,2021-12-27 00:00:00,,,,,,False,,,,0.036734693877551024,2.6943789313364443,0.4271590106250458
ABRAND00609_0000000006,ABRAND00609,5,0.08040402000137437,53.21,-115.29,active,172,0,True,unknown,2021-07-11 00:00:00,2021-12-14 10:30:00,OGI,3.0,OGI,2021-12-14 10:30:00,False,,,1.0,0.04081632653061225,2.774782951337819,0.43990603044271775
ABRAND00649_0000000005,ABRAND00649,1,0.07597294320602377,52.94,-115.16,active,75,0,False,unknown,2021-10-16 00:00:00,,,,,,False,,,0.0,0.04489795918367347,2.8507558945438425,0.451950560214208
ABRAND00640_0000000004,ABRAND00640,3,0.06783603833051889,53.04,-115.18,active,50,0,False,unknown,2021-11-10 00:00:00,,,,,,False,,,,0.0489795918367347,2.9185919328743615,0.46270508871833876
ABRAND00442_0000000008,ABRAND00442,1,0.0625439891584401,53.86,-115.88,active,72,0,False,unknown,2021-10-19 00:00:00,,,,,,False,,,0.0,0.05306122448979592,2.9811359220328018,0.4726206311161601
ABRAND00837_0000000002,ABRAND00837,1,0.05937632981140017,52.25,-114.39,active,80,0,False,unknown,2021-10-11 00:00:00,,,,,,False,,,1.0,0.05714285714285715,3.040512251844202,0.48203398200077513
ABRAND00411_0000000008,ABRAND00411,2,0.05671891170286111,53.49,-115.96,active,37,0,False,unknown,2021-11-23 00:00:00,,,,,,False,,,,0.06122448979591837,3.0972311635470633,0.49102603353626806
ABRAND00927_0000000004,ABRAND00927,1,0.05645535938933394,52.42,-114.19,active,34,0,False,unknown,2021-11-26 00:00:00,,,,,,False,,,,0.0653061224489796,3.1536865229363973,0.499976302253396
ABRAND00742_0000000006,ABRAND00742,1,0.05638572471716116,52.23,-114.74,active,30,0,False,unknown,2021-11-30 00:00:00,,,,,,False,,,0.0,0.06938775510204082,3.2100722476535584,0.5089155312918342
ABRAND00363_0000000005,ABRAND00363,1,0.054992887180839604,52.92,-116.09,active,145,0,True,unknown,2021-08-07 00:00:00,2021-12-17 08:00:00,OGI,1.0,OGI,2021-12-17 08:00:00,False,,,1.0,0.07346938775510205,3.2650651348343978,0.5176339439124118
ABRAND00786_0000000002,ABRAND00786,3,0.05324767465689378,52.45,-114.55,active,6,0,False,unknown,2021-12-24 00:00:00,,,,,,False,,,,0.07755102040816328,3.3183128094912915,0.526075675607976
ABRAND00578_0000000009,ABRAND00578,1,0.05057416913743682,53.12,-115.42,active,41,0,False,unknown,2021-11-19 00:00:00,,,,,,False,,,,0.0816326530612245,3.368886978628728,0.5340935575030128
ABRAND00078_0000000007,ABRAND00078,2,0.046904774791245545,54.98,-119.56,active,2,0,False,unknown,2021-12-28 00:00:00,,,,,,False,,,,0.08571428571428572,3.4157917534199735,0.5415297042752416
ABRAND00420_0000000003,ABRAND00420,2,0.04498857903513103,52.87,-115.92,active,13,0,False,unknown,2021-12-17 00:00:00,,,,,,False,,,,0.08979591836734695,3.4607803324551045,0.5486620629374069
ABRAND00185_0000000003,ABRAND00185,1,0.04361064533320436,54.5,-118.86,active,36,0,True,unknown,2021-11-24 00:00:00,2021-12-19 08:00:00,OGI,3.0,OGI,2021-12-19 08:00:00,False,,,1.0,0.09387755102040818,3.504390977788309,0.5555759679923322
ABRAND00268_0000000004,ABRAND00268,3,0.03919737916840557,54.26,-117.58,active,48,0,False,unknown,2021-11-12 00:00:00,,,,,,False,,,,0.0979591836734694,3.5435883569567146,0.5617902066467171
ABRAND00693_0000000004,ABRAND00693,1,0.03907531948368276,52.97,-115.01,active,25,0,False,unknown,2021-12-05 00:00:00,,,,,,False,,,0.0,0.10204081632653061,3.582663676440397,0.5679850943131777
ABRAND00208_0000000004,ABRAND00208,1,0.038510176610497465,54.34,-118.72,active,66,0,True,unknown,2021-10-25 00:00:00,2021-12-20 13:00:00,OGI,3.0,OGI,2021-12-20 13:00:00,False,,,1.0,0.10612244897959185,3.6211738530508946,0.5740903858698395
ABRAND00970_0000000005,ABRAND00970,1,0.03788274498191247,52.74,-114.08,active,36,0,False,unknown,2021-11-24 00:00:00,,,,,,False,,,,0.11020408163265308,3.659056598032807,0.5800962062383235
ABRAND00373_0000000004,ABRAND00373,4,0.03760641962985707,53.25,-116.07,active,14,0,False,unknown,2021-12-16 00:00:00,,,,,,False,,,,0.1142857142857143,3.696663017662664,0.5860582187880105
ABRAND00773_0000000003,ABRAND00773,2,0.035899613490690194,51.94,-114.6,active,148,0,False,unknown,2021-08-04 00:00:00,,,,,,False,,,1.0,0.11836734693877551,3.732562631153354,0.5917496392493851
ABRAND00382_0000000003,ABRAND00382,2,0.035359016724324496,52.99,-116.03,active,39,0,False,unknown,2021-11-21 00:00:00,,,,,,False,,,,0.12244897959183675,3.7679216478776785,0.5973553550694479
ABRAND00510_0000000005,ABRAND00510,3,0.03428445580935486,53.87,-115.69,active,55,0,False,unknown,2021-11-05 00:00:00,,,,,,False,,,,0.12653061224489798,3.802206103687033,0.6027907131228446
ABRAND00162_0000000005,ABRAND00162,1,0.03385045839228245,54.7,-119.03,active,139,0,False,unknown,2021-08-13 00:00:00,,,,,,False,,,1.0,0.1306122448979592,3.8360565620793157,0.6081572664861756
ABRAND00295_0000000004,ABRAND00295,1,0.033746289790164134,54.87,-117.13,active,196,0,False,unknown,2021-06-17 00:00:00,,,,,,False,,,1.0,0.1346938775510204,3.86980285186948,0.6135073052618584
ABRAND00901_0000000006,ABRAND00901,2,0.03260953133067244,55.52,-114.25,active,85,0,False,unknown,2021-10-06 00:00:00,,,,,,False,,,1.0,0.13877551020408163,3.902412383200152,0.6186771256528035
ABRAND00354_0000000002,ABRAND00354,1,0.03246231123978736,53.02,-116.13,active,163,0,False,unknown,2021-07-20 00:00:00,,,,,,False,,,1.0,0.14285714285714288,3.9348746944399395,0.6238236061981038
ABRAND00432_0000000006,ABRAND00432,1,0.03229958590377138,53.8,-115.9,active,8,0,False,unknown,2021-12-22 00:00:00,,,,,,False,,,1.0,0.1469387755102041,3.967174280343711,0.6289442887412271
ABRAND01136_0000000007,ABRAND01136,2,0.032207752598317665,54.9,-110.68,active,32,0,False,unknown,2021-11-28 00:00:00,,,,,,False,,,,0.1510204081632653,3.9993820329420284,0.6340504122988105
ABRAND00470_0000000003,ABRAND00470,1,0.031594975533527345,53.17,-115.81,active,154,0,False,unknown,2021-07-29 00:00:00,,,,,,False,,,1.0,0.15510204081632656,4.030977008475555,0.6390593879601997
ABRAND00033_0000000011,ABRAND00033,1,0.031534605799936166,57.85,-119.83,active,36,0,False,unknown,2021-11-24 00:00:00,,,,,,False,,,,0.15918367346938778,4.062511614275492,0.6440587927793541
ABRAND01103_0000000002,ABRAND01103,1,0.030244664057840456,50.43,-111.23,active,160,0,False,unknown,2021-07-23 00:00:00,,,,,,False,,,1.0,0.163265306122449,4.092756278333332,0.6488536939810295
ABRAND00215_0000000008,ABRAND00215,1,0.0300466950947211,54.36,-118.7,active,115,0,False,unknown,2021-09-06 00:00:00,,,,,,False,,,1.0,0.1673469387755102,4.122802973428053,0.6536172097582432
ABRAND00744_0000000005,ABRAND00744,1,0.02910480233275402,53.27,-114.73,active,34,0,False,unknown,2021-11-26 00:00:00,,,,,,False,,,,0.17142857142857143,4.151907775760807,0.6582314005924665
ABRAND00028_0000000006,ABRAND00028,4,0.028673625021056217,57.69,-119.86,active,105,0,False,unknown,2021-09-16 00:00:00,,,,,,False,,,0.0,0.17551020408163268,4.180581400781864,0.6627772338279397
ABRAND00444_0000000003,ABRAND00444,3,0.02840932995321175,53.86,-115.88,active,140,0,False,unknown,2021-08-12 00:00:00,,,,,,False,,,1.0,0.1795918367346939,4.208990730735075,0.6672811664909356
