datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,verification_cost,natural_redund_tags,natural_n_tags
2017-01-01,316,1.0,1.0,0.7995618838992332,4.0,1313.5469145868913,800.0,800.0,0.0,0.0,4.0
2017-01-02,313,0.0,0.0,1.1993428258488499,6.0,1301.3950824584954,400.0,400.0,0.0,0.0,2.0
2017-01-03,311,2.0,2.0,1.1993428258488499,6.0,1304.3450968191112,0.0,0.0,0.0,0.0,0.0
2017-01-04,313,3.0,3.0,1.9989047097480832,10.0,1296.665841615297,800.0,800.0,0.0,0.0,4.0
2017-01-05,312,1.0,1.0,2.198795180722892,11.0,1293.3915594399598,200.0,200.0,0.0,0.0,1.0
2017-01-06,312,2.0,2.0,2.598576122672508,13.0,1290.6309388481527,400.0,400.0,0.0,0.0,2.0
2017-01-07,312,1.0,1.0,2.7984665936473165,14.0,1291.2373192176165,200.0,200.0,0.0,0.0,1.0
2017-01-08,312,0.0,0.0,2.998357064622125,15.0,1289.9254529209888,200.0,200.0,0.0,0.0,1.0
2017-01-09,311,1.0,1.0,3.3981380065717417,17.0,1323.8559447144878,400.0,400.0,0.0,0.0,2.0
2017-01-10,310,0.0,0.0,3.3981380065717417,17.0,1323.8559447144878,0.0,0.0,0.0,0.0,0.0
2017-01-11,310,0.0,0.0,3.5980284775465496,18.0,1323.6253731534196,200.0,200.0,0.0,0.0,1.0
2017-01-12,309,1.0,1.0,3.797918948521358,19.0,1324.6571135122704,200.0,200.0,0.0,0.0,1.0
2017-01-13,309,2.0,2.0,4.197699890470974,21.0,1337.5632108821565,400.0,400.0,0.0,0.0,2.0
2017-01-14,309,0.0,0.0,4.397590361445784,22.0,1332.4896479634092,200.0,200.0,0.0,0.0,1.0
2017-01-15,308,3.0,3.0,4.597480832420591,23.0,1563.7844290029982,200.0,200.0,0.0,0.0,1.0
2017-01-16,310,1.0,1.0,4.997261774370209,25.0,1563.7414153460797,400.0,400.0,0.0,0.0,2.0
2017-01-17,309,3.0,3.0,5.197152245345016,26.0,1564.7697231593836,200.0,200.0,0.0,0.0,1.0
2017-01-18,311,1.0,1.0,5.796823658269441,29.0,1559.385875339816,600.0,600.0,0.0,0.0,3.0
2017-01-19,309,2.0,2.0,6.196604600219058,31.0,1511.8336175530767,400.0,400.0,0.0,0.0,2.0
2017-01-20,309,2.0,2.0,6.596385542168675,33.0,1513.1423306855813,400.0,400.0,0.0,0.0,2.0
2017-01-21,309,0.0,0.0,6.996166484118292,35.0,1511.5155990032868,400.0,400.0,0.0,0.0,2.0
2017-01-22,307,2.0,2.0,6.996166484118292,35.0,1512.5439197609637,0.0,0.0,0.0,0.0,0.0
2017-01-23,309,0.0,0.0,7.595837897042716,38.0,1500.2620756605002,600.0,600.0,0.0,0.0,3.0
2017-01-24,306,2.0,2.0,7.7957283680175244,39.0,1453.9854098374153,200.0,200.0,0.0,0.0,1.0
2017-01-25,307,1.0,1.0,7.995618838992333,40.0,1511.7075514247879,200.0,200.0,0.0,0.0,1.0
2017-01-26,307,2.0,2.0,8.195509309967141,41.0,1518.2054611498975,200.0,200.0,0.0,0.0,1.0
2017-01-27,308,1.0,1.0,8.795180722891567,44.0,1509.1154769614086,600.0,600.0,0.0,0.0,3.0
2017-01-28,306,1.0,1.0,8.795180722891567,44.0,1511.5227324718492,0.0,0.0,0.0,0.0,0.0
2017-01-29,307,1.0,1.0,8.995071193866375,45.0,1512.0997316952758,200.0,200.0,0.0,0.0,1.0
2017-01-30,307,0.0,0.0,9.39485213581599,47.0,1500.4880740350268,400.0,400.0,0.0,0.0,2.0
2017-01-31,305,1.0,1.0,9.794633077765607,49.0,1499.174625914591,400.0,400.0,0.0,0.0,2.0
2017-02-01,304,1.0,1.0,10.194414019715225,51.0,1490.1014491430326,400.0,400.0,0.0,0.0,2.0
2017-02-02,303,0.0,0.0,10.194414019715225,51.0,1490.1014491430326,0.0,0.0,0.0,0.0,0.0
2017-02-03,303,2.0,2.0,10.194414019715225,51.0,1493.0741578014417,0.0,0.0,0.0,0.0,0.0
2017-02-04,305,0.0,0.0,10.394304490690033,52.0,1488.0103423180415,200.0,200.0,0.0,0.0,1.0
2017-02-05,304,1.0,1.0,10.594194961664842,53.0,1485.6726065053326,200.0,200.0,0.0,0.0,1.0
2017-02-06,304,3.0,3.0,10.594194961664842,53.0,1489.0204661950681,0.0,0.0,0.0,0.0,0.0
2017-02-07,307,3.0,3.0,10.79408543263965,54.0,1488.207331716817,200.0,200.0,0.0,0.0,1.0
2017-02-08,309,0.0,0.0,10.993975903614457,55.0,1486.815382432944,200.0,200.0,0.0,0.0,1.0
2017-02-09,308,1.0,1.0,11.193866374589266,56.0,1491.1848754495559,200.0,200.0,0.0,0.0,1.0
2017-02-10,308,3.0,3.0,11.193866374589266,56.0,1503.0594220797825,0.0,0.0,0.0,0.0,0.0
2017-02-11,311,1.0,1.0,11.393756845564074,57.0,1503.0901832385573,200.0,200.0,0.0,0.0,1.0
2017-02-12,311,0.0,0.0,11.393756845564074,57.0,1503.0901832385573,0.0,0.0,0.0,0.0,0.0
2017-02-13,311,0.0,0.0,11.393756845564074,57.0,1503.0901832385573,0.0,0.0,0.0,0.0,0.0
2017-02-14,311,2.0,2.0,11.593647316538881,58.0,1612.158165555646,200.0,200.0,0.0,0.0,1.0
2017-02-15,312,1.0,1.0,12.193318729463307,61.0,1599.2512794337442,600.0,600.0,0.0,0.0,3.0
2017-02-16,310,4.0,4.0,12.193318729463307,61.0,1605.872456691503,0.0,0.0,0.0,0.0,0.0
2017-02-17,314,1.0,1.0,12.593099671412924,63.0,1602.9954914868704,400.0,400.0,0.0,0.0,2.0
2017-02-18,313,3.0,3.0,13.19277108433735,66.0,1608.0280216413696,600.0,600.0,0.0,0.0,3.0
