,program_name,ts,active_leaks,daily_emissions_kg,sim
0,P_none_L01_N120,912.0,163.42865753424658,709.1462082266322,4.5
1,P_none_L01_N240,912.0,328.36482191780823,1416.5010011629545,4.5
2,P_none_L01_N360,912.0,494.3212602739726,2135.878329463752,4.5
3,P_none_L05_N120,912.0,819.4592876712329,3572.840163374884,4.5
4,P_none_L05_N240,912.0,1646.1507945205478,7234.520060365082,4.5
5,P_none_L05_N360,912.0,2470.609917808219,10731.291908979503,4.5
6,P_none_L10_N120,912.0,1647.0192876712329,7133.924089192089,4.5
7,P_none_L10_N240,912.0,3290.9575342465755,14259.291354386844,4.5
8,P_none_L10_N360,912.0,4931.266794520548,21285.09520508087,4.5
