leak_ID,facility_ID,equipment_group,rate,lat,lon,status,days_active,days_active_prog_start,tagged,component,date_began,date_tagged,tagged_by_company,tagged_by_crew,init_detect_by,init_detect_date,requires_shutdown,date_repaired,repair_delay,OGI_sp_covered,cum_frac_leaks,cum_rate,cum_frac_rate
ABRAND00861_0000000006,ABRAND00861,1,1.883353357421555,52.46,-114.34,active,86,0,False,unknown,2021-10-05 00:00:00,,,,,,False,,,0.0,0.0,1.883353357421555,0.21598279398170334
ABRAND00064_0000000007,ABRAND00064,1,1.8365561589325872,54.71,-119.63,active,57,0,True,unknown,2021-11-03 00:00:00,2021-12-19 13:00:00,OGI,1.0,OGI,2021-12-19 13:00:00,False,,,1.0,0.0072992700729927005,3.719909516354142,0.4265988894411488
ABRAND00065_0000000006,ABRAND00065,1,1.2428187984120591,55.03,-119.62,active,14,0,False,unknown,2021-12-16 00:00:00,,,,,,False,,,,0.014598540145985401,4.962728314766201,0.56912523768921
ABRAND00964_0000000004,ABRAND00964,2,0.41400099108167654,52.8,-114.1,active,20,0,False,unknown,2021-12-10 00:00:00,,,,,,False,,,,0.021897810218978103,5.376729305847878,0.6166028341862546
ABRAND00147_0000000004,ABRAND00147,1,0.3363211884064858,54.88,-119.14,active,0,0,False,unknown,2021-12-30 00:00:00,,,,,,False,,,,0.029197080291970802,5.713050494254364,0.6551721178849486
ABRAND01034_0000000006,ABRAND01034,1,0.17251335228284445,51.38,-113.24,active,12,0,False,unknown,2021-12-18 00:00:00,,,,,,False,,,,0.0364963503649635,5.885563846537208,0.6749559336401662
ABRAND00639_0000000012,ABRAND00639,1,0.14911584400434272,53.26,-115.18,active,6,0,False,unknown,2021-12-24 00:00:00,,,,,,False,,,,0.043795620437956206,6.034679690541551,0.6920565252461358
ABRAND00588_0000000006,ABRAND00588,1,0.13768637537941864,52.85,-115.38,active,43,0,True,unknown,2021-11-17 00:00:00,2021-12-19 08:00:00,OGI,2.0,OGI,2021-12-19 08:00:00,False,,,1.0,0.051094890510948905,6.172366065920969,0.7078463864160937
ABRAND00507_0000000006,ABRAND00507,2,0.09922777096012739,53.23,-115.7,active,12,0,False,unknown,2021-12-18 00:00:00,,,,,,False,,,,0.058394160583941604,6.271593836881097,0.7192258182832427
ABRAND00913_0000000002,ABRAND00913,3,0.09673454710870874,52.85,-114.23,active,70,0,True,unknown,2021-10-21 00:00:00,2021-12-18 13:00:00,OGI,1.0,OGI,2021-12-18 13:00:00,False,,,1.0,0.06569343065693431,6.368328383989806,0.7303193274628996
ABRAND00397_0000000008,ABRAND00397,2,0.09276876196113708,52.95,-115.99,active,71,0,False,unknown,2021-10-20 00:00:00,,,,,,False,,,0.0,0.072992700729927,6.461097145950943,0.7409580407577968
ABRAND00906_0000000009,ABRAND00906,2,0.08781719344703247,52.85,-114.24,active,20,0,False,unknown,2021-12-10 00:00:00,,,,,,False,,,,0.08029197080291971,6.548914339397976,0.751028908619943
ABRAND00838_0000000005,ABRAND00838,1,0.07671207960562877,52.57,-114.39,active,23,0,False,unknown,2021-12-07 00:00:00,,,,,,False,,,,0.08759124087591241,6.625626419003605,0.7598262430235379
ABRAND00861_0000000008,ABRAND00861,1,0.06058113098381965,52.46,-114.34,active,24,0,False,unknown,2021-12-06 00:00:00,,,,,,False,,,,0.0948905109489051,6.686207549987424,0.766773681687077
ABRAND00758_0000000007,ABRAND00758,1,0.058791022296201235,52.95,-114.66,active,39,0,False,unknown,2021-11-21 00:00:00,,,,,,False,,,,0.10218978102189781,6.744998572283626,0.773515830846998
ABRAND00446_0000000004,ABRAND00446,4,0.055018241688500516,52.97,-115.87,active,13,0,False,unknown,2021-12-17 00:00:00,,,,,,False,,,,0.1094890510948905,6.800016813972126,0.779825317865468
ABRAND00867_0000000006,ABRAND00867,4,0.05357945415305201,52.52,-114.33,active,27,0,False,unknown,2021-12-03 00:00:00,,,,,,False,,,,0.11678832116788321,6.8535962681251785,0.7859698048585164
ABRAND00730_0000000006,ABRAND00730,2,0.05273294777289309,52.22,-114.8,active,85,0,False,unknown,2021-10-06 00:00:00,,,,,,False,,,1.0,0.12408759124087591,6.906329215898071,0.7920172145758695
ABRAND00961_0000000008,ABRAND00961,1,0.04925380885304609,52.71,-114.11,active,74,0,False,unknown,2021-10-17 00:00:00,,,,,,False,,,1.0,0.13138686131386862,6.9555830247511174,0.7976656369541776
