leak_ID,facility_ID,equipment_group,rate,lat,lon,status,days_active,days_active_prog_start,tagged,component,date_began,date_tagged,tagged_by_company,tagged_by_crew,init_detect_by,init_detect_date,requires_shutdown,date_repaired,repair_delay,cum_frac_leaks,cum_rate,cum_frac_rate
ABRAND00544_0000000033,ABRAND00544,1,0.004311260965518496,53.84,-115.57,repaired,360,0,True,unknown,2020-09-02,2021-08-28,natural,1.0,natural,2021-08-28,False,2021-08-28,0.0,0.8293774474546471,648.217204961057,0.9923575312147855
ABRAND01168_0000000006,ABRAND01168,3,0.00431044810977404,49.43,-110.31,repaired,360,193,True,unknown,2016-06-22,2017-06-16,natural,1.0,natural,2017-06-16,False,2017-06-16,0.0,0.8294573643410852,648.2215154091667,0.992364130091847
ABRAND00223_0000000016,ABRAND00223,5,0.004310005440735622,54.32,-118.67,repaired,360,0,True,unknown,2020-02-10,2021-02-04,natural,1.0,natural,2021-02-04,False,2021-02-04,0.0,0.8295372812275233,648.2258254146075,0.9923707282912252
ABRAND00050_0000000012,ABRAND00050,2,0.0043082953501728995,55.11,-119.7,repaired,360,0,True,unknown,2018-06-11,2019-06-06,natural,1.0,natural,2019-06-06,False,2019-06-06,0.0,0.8296171981139614,648.2301337099576,0.9923773238726209
ABRAND00898_0000000017,ABRAND00898,3,0.004305271389681928,52.88,-114.26,repaired,360,0,True,unknown,2020-03-28,2021-03-23,natural,1.0,natural,2021-03-23,False,2021-03-23,0.0,0.8296971150003996,648.2344389813472,0.992383914824627
ABRAND00837_0000000007,ABRAND00837,2,0.00430487679553627,52.25,-114.39,repaired,360,0,True,unknown,2017-01-04,2017-12-30,natural,1.0,natural,2017-12-30,False,2017-12-30,0.0,0.8297770318868377,648.2387438581428,0.9923905051725479
ABRAND01069_0000000019,ABRAND01069,2,0.004300153284782623,50.42,-112.61,repaired,360,0,True,unknown,2020-04-22,2021-04-17,natural,1.0,natural,2021-04-17,False,2021-04-17,0.0,0.8298569487732758,648.2430440114276,0.992397088289233
ABRAND00340_0000000013,ABRAND00340,1,0.004299277647603072,53.43,-116.21,repaired,360,0,True,unknown,2018-11-11,2019-11-06,natural,1.0,natural,2019-11-06,False,2019-11-06,0.0,0.8299368656597139,648.2473432890753,0.9924036700654028
ABRAND00740_0000000001,ABRAND00740,2,0.004299164743825417,52.29,-114.75,repaired,360,49,True,unknown,2016-11-13,2017-11-07,natural,1.0,natural,2017-11-07,False,2017-11-07,0.0,0.830016782546152,648.251642453819,0.9924102516687276
ABRAND00622_0000000011,ABRAND00622,5,0.004294951682409106,52.68,-115.26,repaired,360,0,True,unknown,2018-01-27,2019-01-22,natural,1.0,natural,2019-01-22,False,2019-01-22,0.0,0.8300966994325901,648.2559374055014,0.9924168268222651
ABRAND00291_0000000005,ABRAND00291,1,0.004294754482043093,54.07,-117.25,repaired,360,0,True,unknown,2017-12-02,2018-11-27,natural,1.0,natural,2018-11-27,False,2018-11-27,0.0,0.8301766163190282,648.2602321599835,0.992423401673908
ABRAND00067_0000000022,ABRAND00067,4,0.004290855240561149,54.85,-119.61,repaired,360,0,True,unknown,2020-04-18,2021-04-13,natural,1.0,natural,2021-04-13,False,2021-04-13,0.0,0.8302565332054663,648.2645230152241,0.9924299705561912
ABRAND01126_0000000010,ABRAND01126,2,0.004286682333215389,55.46,-110.77,repaired,360,0,True,unknown,2018-06-03,2019-05-29,natural,1.0,natural,2019-05-29,False,2019-05-29,0.0,0.8303364500919044,648.2688096975573,0.9924365330501589
ABRAND00202_0000000006,ABRAND00202,2,0.004285083486445495,54.32,-118.75,repaired,360,267,True,unknown,2016-04-09,2017-04-03,natural,1.0,natural,2017-04-03,False,2017-04-03,0.0,0.8304163669783425,648.2730947810438,0.9924430930964476
ABRAND00514_0000000007,ABRAND00514,1,0.004284042048926447,54.13,-115.65,repaired,360,0,True,unknown,2017-06-15,2018-06-10,natural,1.0,natural,2018-06-10,False,2018-06-10,0.0,0.8304962838647806,648.2773788230927,0.9924496515483966
ABRAND00067_0000000004,ABRAND00067,4,0.004282791378800125,54.85,-119.61,repaired,360,0,True,unknown,2017-06-07,2018-06-02,natural,1.0,natural,2018-06-02,False,2018-06-02,0.0,0.8305762007512187,648.2816616144715,0.9924562080856913
ABRAND00696_0000000013,ABRAND00696,1,0.004282339548406358,52.58,-115.0,repaired,360,0,True,unknown,2018-03-03,2019-02-26,natural,1.0,natural,2019-02-26,False,2019-02-26,0.0,0.8306561176376568,648.2859439540199,0.9924627639312775
ABRAND00972_0000000013,ABRAND00972,2,0.004280343184011294,53.04,-114.08,repaired,360,0,True,unknown,2019-04-09,2020-04-03,natural,1.0,natural,2020-04-03,False,2020-04-03,0.0,0.830736034524095,648.290224297204,0.992469316720624
ABRAND00443_0000000008,ABRAND00443,4,0.004280056080797732,52.9,-115.88,repaired,360,0,True,unknown,2017-07-22,2018-07-17,natural,1.0,natural,2018-07-17,False,2018-07-17,0.0,0.830815951410533,648.2945043532848,0.9924758690704434
