datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,verification_cost,natural_redund_tags,natural_n_tags
2017-01-01,2528,6.0,6.0,1.9989047097480832,10.0,10977.342423240416,2000.0,2000.0,0.0,0.0,10.0
2017-01-02,2524,8.0,8.0,4.197699890470974,21.0,10794.522250879883,2200.0,2200.0,0.0,0.0,11.0
2017-01-03,2521,6.0,6.0,6.596385542168675,33.0,10794.91250903955,2400.0,2400.0,0.0,0.0,12.0
2017-01-04,2515,9.0,9.0,6.996166484118292,35.0,10815.206522435412,400.0,400.0,0.0,0.0,2.0
2017-01-05,2522,10.0,10.0,8.595290251916758,43.0,10831.303858487086,1600.0,1600.0,0.0,0.0,8.0
2017-01-06,2524,2.0,2.0,11.393756845564074,57.0,10800.420873145966,2800.0,2800.0,0.0,0.0,14.0
2017-01-07,2512,4.0,4.0,11.9934282584885,60.0,10837.682693135215,600.0,600.0,0.0,0.0,3.0
2017-01-08,2513,5.0,5.0,13.592552026286967,68.0,10851.16229951609,1600.0,1600.0,0.0,0.0,8.0
2017-01-09,2510,12.0,12.0,14.791894852135815,74.0,10903.146864613973,1200.0,1200.0,0.0,0.0,6.0
2017-01-10,2516,4.0,4.0,15.391566265060241,77.0,10908.466004370523,600.0,600.0,0.0,0.0,3.0
2017-01-11,2517,10.0,10.0,17.390470974808323,87.0,10948.120688286976,2000.0,2000.0,0.0,0.0,10.0
2017-01-12,2517,2.0,2.0,18.589813800657176,93.0,10926.394901789237,1200.0,1200.0,0.0,0.0,6.0
2017-01-13,2513,7.0,7.0,19.789156626506024,99.0,10947.600935445842,1200.0,1200.0,0.0,0.0,6.0
2017-01-14,2514,6.0,6.0,21.5881708652793,108.0,10935.69008051318,1800.0,1800.0,0.0,0.0,9.0
2017-01-15,2511,6.0,6.0,23.387185104052573,117.0,10911.83656454184,1800.0,1800.0,0.0,0.0,9.0
2017-01-16,2508,5.0,5.0,24.786418400876233,124.0,10913.47114358813,1400.0,1400.0,0.0,0.0,7.0
2017-01-17,2506,10.0,10.0,26.3855421686747,132.0,10871.855765156002,1600.0,1600.0,0.0,0.0,8.0
2017-01-18,2508,10.0,10.0,27.784775465498356,139.0,10859.356068427665,1400.0,1400.0,0.0,0.0,7.0
2017-01-19,2511,5.0,5.0,29.184008762322016,146.0,10809.200032135403,1400.0,1400.0,0.0,0.0,7.0
2017-01-20,2509,8.0,8.0,30.58324205914567,153.0,10814.971372397553,1400.0,1400.0,0.0,0.0,7.0
2017-01-21,2510,3.0,3.0,31.98247535596933,160.0,10796.982869693686,1400.0,1400.0,0.0,0.0,7.0
2017-01-22,2506,2.0,2.0,33.78148959474261,169.0,10778.699684894671,1800.0,1800.0,0.0,0.0,9.0
2017-01-23,2499,6.0,6.0,34.78094194961665,174.0,10789.009497430412,1000.0,1000.0,0.0,0.0,5.0
2017-01-24,2500,6.0,6.0,36.77984665936473,184.0,10788.97694236352,2000.0,2000.0,0.0,0.0,10.0
2017-01-25,2496,9.0,9.0,38.378970427163196,192.0,10786.291799165205,1600.0,1600.0,0.0,0.0,8.0
2017-01-26,2497,5.0,5.0,39.178532311062426,196.0,10709.193516470626,800.0,800.0,0.0,0.0,4.0
2017-01-27,2498,7.0,7.0,40.37787513691128,202.0,10704.103031382872,1200.0,1200.0,0.0,0.0,6.0
2017-01-28,2499,3.0,3.0,41.57721796276013,208.0,10705.578517004153,1200.0,1200.0,0.0,0.0,6.0
2017-01-29,2496,7.0,7.0,42.97645125958379,215.0,10647.040032629195,1400.0,1400.0,0.0,0.0,7.0
2017-01-30,2496,6.0,6.0,44.37568455640745,222.0,10682.51521385307,1400.0,1400.0,0.0,0.0,7.0
2017-01-31,2495,5.0,5.0,44.97535596933188,225.0,10682.49277215711,600.0,600.0,0.0,0.0,3.0
2017-02-01,2497,13.0,13.0,46.374589266155525,232.0,10748.811556758104,1400.0,1400.0,0.0,0.0,7.0
2017-02-02,2503,4.0,4.0,47.374041621029576,237.0,10753.606490392478,1000.0,1000.0,0.0,0.0,5.0
2017-02-03,2502,4.0,4.0,48.373493975903614,242.0,10739.550103846625,1000.0,1000.0,0.0,0.0,5.0
2017-02-04,2501,5.0,5.0,49.572836801752466,248.0,10763.857120906383,1200.0,1200.0,0.0,0.0,6.0
2017-02-05,2500,3.0,3.0,50.972070098576125,255.0,10763.741328518257,1400.0,1400.0,0.0,0.0,7.0
2017-02-06,2496,8.0,8.0,51.97152245345017,260.0,10770.009133860509,1000.0,1000.0,0.0,0.0,5.0
2017-02-07,2499,10.0,10.0,53.170865279299015,266.0,10777.396391169857,1200.0,1200.0,0.0,0.0,6.0
2017-02-08,2503,6.0,6.0,54.9698795180723,275.0,10777.861042286673,1800.0,1800.0,0.0,0.0,9.0
2017-02-09,2500,9.0,9.0,56.768893756845564,284.0,10792.207343763259,1800.0,1800.0,0.0,0.0,9.0
2017-02-10,2500,5.0,5.0,57.968236582694416,290.0,10826.543412586168,1200.0,1200.0,0.0,0.0,6.0
