leak_ID,facility_ID,equipment_group,rate,lat,lon,status,days_active,days_active_prog_start,tagged,component,date_began,date_tagged,tagged_by_company,tagged_by_crew,init_detect_by,init_detect_date,requires_shutdown,date_repaired,repair_delay,cum_frac_leaks,cum_rate,cum_frac_rate
ABRAND00658_0000000034,ABRAND00658,1,4.0445363361828175,52.81,-115.14,active,263,0,False,unknown,2021-04-11,,,,,,False,,,0.0,4.0445363361828175,0.032735410123339234
ABRAND01100_0000000037,ABRAND01100,2,2.0158093402336057,50.16,-111.3,active,48,0,False,unknown,2021-11-12,,,,,,False,,,0.0004045307443365696,6.060345676416423,0.04905083913621934
ABRAND00859_0000000020,ABRAND00859,5,1.7900891083605397,52.7,-114.34,active,133,0,False,unknown,2021-08-19,,,,,,False,,,0.0008090614886731392,7.850434784776963,0.06353934813915989
ABRAND00684_0000000025,ABRAND00684,2,1.7329239091794835,53.02,-115.05,active,242,0,False,unknown,2021-05-02,,,,,,False,,,0.0012135922330097088,9.583358693956447,0.07756517710057548
ABRAND00617_0000000018,ABRAND00617,2,1.5531930165969003,52.53,-115.27,active,281,0,False,unknown,2021-03-24,,,,,,False,,,0.0016181229773462784,11.136551710553347,0.09013631163190529
ABRAND00935_0000000028,ABRAND00935,2,1.235064173498031,52.76,-114.18,active,53,0,False,unknown,2021-11-07,,,,,,False,,,0.002022653721682848,12.371615884051378,0.10013259523218039
ABRAND00751_0000000028,ABRAND00751,2,1.2297954088182226,52.28,-114.68,active,113,0,False,unknown,2021-09-08,,,,,,False,,,0.0024271844660194177,13.601411292869601,0.1100862348410803
ABRAND00861_0000000032,ABRAND00861,1,0.9665379016253969,52.46,-114.34,active,342,0,False,unknown,2021-01-22,,,,,,False,,,0.0028317152103559872,14.567949194494998,0.11790913763624236
ABRAND01113_0000000025,ABRAND01113,3,0.8469139907926501,50.22,-110.96,active,13,0,False,unknown,2021-12-17,,,,,,False,,,0.003236245954692557,15.414863185287649,0.12476383605488903
ABRAND01102_0000000026,ABRAND01102,2,0.8181364431768285,50.5,-111.25,active,284,0,False,unknown,2021-03-21,,,,,,False,,,0.0036407766990291263,16.232999628464476,0.13138561659488537
ABRAND00463_0000000024,ABRAND00463,3,0.7435915880666825,53.61,-115.83,active,222,0,False,unknown,2021-05-22,,,,,,False,,,0.004045307443365696,16.97659121653116,0.13740405074316192
ABRAND00135_0000000041,ABRAND00135,1,0.6415691215315222,55.29,-119.24,active,182,0,False,unknown,2021-07-01,,,,,,False,,,0.004449838187702265,17.61816033806268,0.14259674196166294
ABRAND00391_0000000030,ABRAND00391,1,0.6406998466173909,53.28,-116.01,active,167,0,False,unknown,2021-07-16,,,,,,False,,,0.004854368932038835,18.25886018468007,0.1477823974983308
