datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,verification_cost,natural_redund_tags,natural_n_tags
2017-01-01,163,2.0,2.0,0.1998904709748083,1.0,722.6882355464695,200.0,200.0,0.0,0.0,1.0
2017-01-02,164,1.0,1.0,0.5996714129244249,3.0,728.8377541953845,400.0,400.0,0.0,0.0,2.0
2017-01-03,163,3.0,3.0,0.5996714129244249,3.0,745.3919263335928,0.0,0.0,0.0,0.0,0.0
2017-01-04,166,1.0,1.0,0.5996714129244249,3.0,759.3731722332273,0.0,0.0,0.0,0.0,0.0
2017-01-05,167,2.0,2.0,0.7995618838992332,4.0,765.9292979911536,200.0,200.0,0.0,0.0,1.0
2017-01-06,168,0.0,0.0,0.7995618838992332,4.0,765.9292979911536,0.0,0.0,0.0,0.0,0.0
2017-01-07,168,1.0,1.0,1.5991237677984664,8.0,721.315414918942,800.0,800.0,0.0,0.0,4.0
2017-01-08,165,2.0,2.0,1.9989047097480832,10.0,707.0872835447504,400.0,400.0,0.0,0.0,2.0
2017-01-09,165,1.0,1.0,2.198795180722892,11.0,705.803954609754,200.0,200.0,0.0,0.0,1.0
2017-01-10,165,0.0,0.0,2.198795180722892,11.0,705.803954609754,0.0,0.0,0.0,0.0,0.0
2017-01-11,165,2.0,2.0,2.598576122672508,13.0,705.7158050234812,400.0,400.0,0.0,0.0,2.0
2017-01-12,165,2.0,2.0,3.198247535596933,16.0,699.4986667427409,600.0,600.0,0.0,0.0,3.0
2017-01-13,164,1.0,1.0,3.3981380065717417,17.0,702.2107404865499,200.0,200.0,0.0,0.0,1.0
2017-01-14,164,1.0,1.0,3.3981380065717417,17.0,703.6034631078938,0.0,0.0,0.0,0.0,0.0
2017-01-15,165,0.0,0.0,3.5980284775465496,18.0,702.7419960756445,200.0,200.0,0.0,0.0,1.0
2017-01-16,164,2.0,2.0,3.797918948521358,19.0,690.4611211936971,200.0,200.0,0.0,0.0,1.0
