datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,verification_cost,natural_redund_tags,natural_n_tags,OGI_prop_sites_avail,OGI_cost,OGI_sites_visited,OGI_travel_time,OGI_survey_time,OGI_redund_tags,OGI_missed_leaks,OGI_sites_vis_w_leaks,OGI_eff_flags,OGI_n_tags,OGI_flags_redund1,OGI_flags_redund2,OGI_flag_wo_vent
2017-01-01,1583,2.0,2.0,6.596385542168675,6.0,6137.671580515136,6600.0,1200.0,0.0,0.0,6.0,0.722,5400.0,9.0,360.0,1080.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0
2017-01-02,1579,12.0,12.0,13.19277108433735,12.0,6054.734028004081,6600.0,1200.0,0.0,0.0,6.0,0.722,5400.0,9.0,360.0,1080.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0
2017-01-03,1585,8.0,8.0,19.189485213581598,15.0,6134.845743947124,6000.0,600.0,0.0,0.0,3.0,0.344,5400.0,9.0,360.0,1080.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0
2017-01-04,1590,8.0,8.0,26.78532311062432,26.0,6103.664498487267,7600.0,2200.0,0.0,0.0,11.0,0.088,5400.0,9.0,360.0,1080.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0
2017-01-05,1587,8.0,8.0,33.18181818181819,31.0,6131.738970279679,6400.0,1000.0,0.0,0.0,5.0,0.322,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,9.0,0.0,0.0,0.0
2017-01-06,1590,9.0,9.0,40.97754654983571,43.0,6114.843722119463,7800.0,2400.0,0.0,0.0,12.0,1.0,5400.0,9.0,360.0,1080.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0
2017-01-07,1587,5.0,5.0,47.374041621029576,48.0,6120.160176226128,6400.0,1000.0,0.0,0.0,5.0,0.912,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,11.0,0.0,0.0,0.0
2017-01-08,1587,7.0,7.0,54.570098576122675,57.0,6092.786391285461,7200.0,1800.0,0.0,0.0,9.0,1.0,5400.0,9.0,360.0,1080.0,0.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0
2017-01-09,1585,6.0,6.0,60.96659364731653,62.0,6094.561004462016,6400.0,1000.0,0.0,0.0,5.0,0.0,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,12.0,0.0,0.0,0.0
2017-01-10,1586,10.0,10.0,67.36308871851041,67.0,6099.258886079679,6400.0,1000.0,0.0,0.0,5.0,0.278,5400.0,9.0,360.0,1080.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0
2017-01-11,1591,4.0,4.0,74.95892661555312,78.0,6054.016411422775,7600.0,2200.0,0.0,0.0,11.0,0.0,5400.0,9.0,360.0,1080.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0
2017-01-12,1584,7.0,7.0,81.95509309967142,86.0,6036.753724717193,7000.0,1600.0,0.0,0.0,7.0,0.744,5400.0,9.0,360.0,1080.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0
2017-01-13,1583,5.0,5.0,87.75191675794085,88.0,6064.26458938648,5800.0,400.0,0.0,0.0,2.0,0.066,5400.0,9.0,360.0,1080.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0
2017-01-14,1586,7.0,7.0,93.7486308871851,91.0,6054.338852318621,6000.0,600.0,0.0,0.0,3.0,0.066,5400.0,9.0,360.0,1080.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0
2017-01-15,1590,3.0,3.0,99.74534501642937,94.0,6079.167095539276,6000.0,600.0,0.0,0.0,3.0,0.722,5400.0,9.0,360.0,1080.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
2017-01-16,1590,6.0,6.0,106.54162102957284,101.0,6089.742872003012,6800.0,1400.0,0.0,0.0,6.0,0.722,5400.0,9.0,360.0,1080.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0
2017-01-17,1589,7.0,7.0,115.3368017524644,118.0,6020.4460905515825,8800.0,3400.0,0.0,0.0,9.0,0.066,5400.0,9.0,360.0,1080.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0
2017-01-18,1579,6.0,6.0,122.5328587075575,127.0,6004.621226022013,7200.0,1800.0,0.0,0.0,5.0,0.066,5400.0,9.0,360.0,1080.0,0.0,0.0,6.0,0.0,10.0,0.0,0.0,0.0
2017-01-19,1576,5.0,5.0,129.7289156626506,136.0,5951.309168104093,7200.0,1800.0,0.0,0.0,5.0,0.936,5400.0,9.0,360.0,1080.0,0.0,0.0,6.0,0.0,10.0,0.0,0.0,0.0
2017-01-20,1572,6.0,6.0,137.72453450164292,149.0,5873.548704463647,8000.0,2600.0,0.0,0.0,4.0,1.0,5400.0,9.0,360.0,1080.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0
2017-01-21,1565,5.0,5.0,146.7196056955093,167.0,5824.51516949326,9000.0,3600.0,0.0,0.0,9.0,0.002,5400.0,9.0,360.0,1080.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0
2017-01-22,1552,6.0,6.0,154.31544359255201,178.0,5742.429875044506,7600.0,2200.0,0.0,0.0,6.0,0.002,5400.0,9.0,360.0,1080.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0
2017-01-23,1547,6.0,6.0,162.51095290251916,192.0,5635.948526331823,8200.0,2800.0,0.0,0.0,4.0,0.066,5400.0,9.0,360.0,1080.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0
2017-01-24,1539,7.0,7.0,170.30668127053667,204.0,5551.82585200324,7800.0,2400.0,0.0,0.0,5.0,0.258,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,11.0,0.0,0.0,0.0
2017-01-25,1534,11.0,11.0,178.90197152245347,220.0,5493.190849237044,8600.0,3200.0,0.0,0.0,4.0,0.722,5400.0,9.0,360.0,1080.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0
2017-01-26,1529,6.0,6.0,186.8975903614458,233.0,5292.020337027554,8000.0,2600.0,0.0,0.0,4.0,0.658,5400.0,9.0,360.0,1080.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0
2017-01-27,1522,3.0,3.0,194.2935377875137,243.0,5225.115301031361,7400.0,2000.0,0.0,0.0,4.0,0.722,5400.0,9.0,360.0,1080.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0
2017-01-28,1515,9.0,9.0,203.6883899233297,263.0,5139.143286398159,9400.0,4000.0,0.0,0.0,9.0,0.978,5400.0,9.0,360.0,1080.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0
2017-01-29,1504,11.0,11.0,211.88389923329683,277.0,5040.1318101669485,8200.0,2800.0,0.0,0.0,4.0,0.0,5400.0,9.0,360.0,1080.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0
2017-01-30,1501,8.0,8.0,220.07940854326395,291.0,5038.701518003017,8200.0,2800.0,0.0,0.0,10.0,0.72,5400.0,9.0,360.0,1080.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0
2017-01-31,1495,1.0,1.0,227.07557502738226,299.0,5001.032659844277,7000.0,1600.0,0.0,0.0,3.0,0.934,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,11.0,0.0,0.0,0.0
2017-02-01,1488,6.0,6.0,234.67141292442494,310.0,4956.970021475475,7600.0,2200.0,0.0,0.0,5.0,0.002,5400.0,9.0,360.0,1080.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0
2017-02-02,1483,5.0,5.0,243.66648411829135,328.0,4912.083910459641,9000.0,3600.0,0.0,0.0,12.0,0.344,5400.0,9.0,360.0,1080.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0
2017-02-03,1470,4.0,4.0,251.66210295728368,341.0,4852.628891921886,8000.0,2600.0,0.0,0.0,4.0,0.344,5400.0,9.0,360.0,1080.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0
2017-02-04,1461,7.0,7.0,260.65717415115,359.0,4784.4187076881235,9000.0,3600.0,0.0,0.0,8.0,0.656,5400.0,9.0,360.0,1080.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0
2017-02-05,1450,6.0,6.0,268.2530120481928,370.0,4756.707631445927,7600.0,2200.0,0.0,0.0,6.0,0.066,5400.0,9.0,360.0,1080.0,0.0,0.0,5.0,0.0,9.0,0.0,0.0,0.0
2017-02-06,1445,12.0,12.0,276.2486308871851,383.0,4738.051254706133,8000.0,2600.0,0.0,0.0,6.0,0.978,5400.0,9.0,360.0,1080.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0
2017-02-07,1444,6.0,6.0,283.4446878422782,392.0,4654.746985905982,7200.0,1800.0,0.0,0.0,4.0,0.978,5400.0,9.0,360.0,1080.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
2017-02-08,1441,6.0,6.0,291.2404162102957,404.0,4619.561383282492,7800.0,2400.0,0.0,0.0,5.0,0.978,5400.0,9.0,360.0,1080.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
2017-02-09,1435,5.0,5.0,299.43592552026286,418.0,4566.982614498227,8200.0,2800.0,0.0,0.0,4.0,0.976,5400.0,9.0,360.0,1080.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
2017-02-10,1426,12.0,12.0,307.8313253012048,433.0,4524.772109606581,8400.0,3000.0,0.0,0.0,8.0,1.0,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,10.0,0.0,0.0,0.0
2017-02-11,1423,2.0,2.0,314.8274917853231,441.0,4462.688803386255,7000.0,1600.0,0.0,0.0,2.0,0.278,5400.0,9.0,360.0,1080.0,0.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0
2017-02-12,1417,10.0,10.0,321.82365826944135,449.0,4435.402926992903,7000.0,1600.0,0.0,0.0,6.0,0.722,5400.0,9.0,360.0,1080.0,0.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0
2017-02-13,1419,7.0,7.0,328.6199342825849,456.0,4419.437186640064,6800.0,1400.0,0.0,0.0,3.0,0.72,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,10.0,0.0,0.0,0.0
