leak_ID,facility_ID,equipment_group,rate,lat,lon,status,days_active,days_active_prog_start,tagged,component,date_began,date_tagged,tagged_by_company,tagged_by_crew,init_detect_by,init_detect_date,requires_shutdown,date_repaired,repair_delay,OGI_sp_covered,cum_frac_leaks,cum_rate,cum_frac_rate
ABRAND00396_0000000029,ABRAND00396,2,1.237331153340776,53.19,-116.0,active,95,0,False,unknown,2021-09-26 00:00:00,,,,,,False,,,1.0,0.0,1.237331153340776,0.039385256903356515
ABRAND00750_0000000024,ABRAND00750,4,0.43755513972765575,51.97,-114.69,active,62,0,False,unknown,2021-10-29 00:00:00,,,,,,False,,,0.0,0.0007974481658692185,1.6748862930684318,0.05331299285426047
ABRAND00545_0000000025,ABRAND00545,1,0.43633266160628564,52.72,-115.57,active,64,0,False,unknown,2021-10-27 00:00:00,,,,,,False,,,0.0,0.001594896331738437,2.1112189546747175,0.06720181633234833
ABRAND01004_0000000029,ABRAND01004,3,0.4221507810092098,52.94,-113.91,active,35,0,False,unknown,2021-11-25 00:00:00,,,,,,False,,,,0.0023923444976076554,2.5333697356839275,0.0806392190172391
ABRAND00749_0000000022,ABRAND00749,1,0.40301180984650864,53.07,-114.69,active,55,0,False,unknown,2021-11-05 00:00:00,,,,,,False,,,,0.003189792663476874,2.9363815455304363,0.09346741268474297
ABRAND00867_0000000035,ABRAND00867,1,0.38896894550660843,52.52,-114.33,active,64,0,True,unknown,2021-10-27 00:00:00,2021-12-15 08:00:00,OGI,1.0,OGI,2021-12-15 08:00:00,False,,,1.0,0.003987240829346092,3.3253504910370446,0.10584861055957433
ABRAND00621_0000000035,ABRAND00621,1,0.3098080660633531,52.9,-115.26,active,14,0,False,unknown,2021-12-16 00:00:00,,,,,,False,,,,0.004784688995215311,3.6351585571003975,0.11571005326203303
ABRAND00549_0000000024,ABRAND00549,3,0.3028182261087425,53.34,-115.54,active,10,0,False,unknown,2021-12-20 00:00:00,,,,,,False,,,,0.005582137161084529,3.93797678320914,0.12534900367406296
ABRAND00342_0000000040,ABRAND00342,2,0.288155580119678,53.19,-116.2,active,43,0,True,unknown,2021-11-17 00:00:00,2021-12-14 08:00:00,OGI,1.0,OGI,2021-12-14 08:00:00,False,,,1.0,0.006379585326953748,4.226132363328818,0.13452123013947354
ABRAND00290_0000000030,ABRAND00290,1,0.2872786761085434,54.07,-117.29,active,18,0,False,unknown,2021-12-12 00:00:00,,,,,,False,,,,0.007177033492822967,4.513411039437361,0.14366554403704412
ABRAND00916_0000000028,ABRAND00916,3,0.2831980131199724,52.7,-114.23,active,28,0,False,unknown,2021-12-02 00:00:00,,,,,,False,,,,0.007974481658692184,4.796609052557334,0.15267996711298065
ABRAND00702_0000000026,ABRAND00702,2,0.28176156625032184,52.92,-114.95,active,52,0,False,unknown,2021-11-08 00:00:00,,,,,,False,,,0.0,0.008771929824561403,5.078370618807655,0.1616486669168275
ABRAND00894_0000000022,ABRAND00894,2,0.2789393548185374,52.89,-114.27,active,102,0,False,unknown,2021-09-19 00:00:00,,,,,,False,,,0.0,0.009569377990430622,5.357309973626193,0.17052753343556204
ABRAND00621_0000000034,ABRAND00621,4,0.27846820778860587,52.9,-115.26,active,28,0,False,unknown,2021-12-02 00:00:00,,,,,,False,,,,0.01036682615629984,5.635778181414799,0.17939140296116102
ABRAND00321_0000000028,ABRAND00321,3,0.25928472776396805,53.25,-116.3,active,24,0,False,unknown,2021-12-06 00:00:00,,,,,,False,,,,0.011164274322169059,5.895062909178767,0.18764464671609962
ABRAND00229_0000000030,ABRAND00229,3,0.25888051665939826,54.41,-118.63,active,24,0,True,unknown,2021-12-06 00:00:00,2021-12-16 10:30:00,OGI,3.0,OGI,2021-12-16 10:30:00,False,,,1.0,0.011961722488038277,6.153943425838166,0.1958850241028443
ABRAND00663_0000000024,ABRAND00663,3,0.2531378068693925,52.4,-115.13,active,55,0,False,unknown,2021-11-05 00:00:00,,,,,,False,,,0.0,0.012759170653907496,6.407081232707558,0.20394260636656142
ABRAND00284_0000000038,ABRAND00284,2,0.2517761452949791,54.16,-117.41,active,67,0,True,unknown,2021-10-24 00:00:00,2021-12-18 13:00:00,OGI,3.0,OGI,2021-12-18 13:00:00,False,,,1.0,0.013556618819776715,6.658857378002537,0.2119568458349574
ABRAND00458_0000000029,ABRAND00458,3,0.2475718474795388,53.34,-115.84,active,6,0,False,unknown,2021-12-24 00:00:00,,,,,,False,,,,0.014354066985645933,6.906429225482076,0.21983725908463073
ABRAND00834_0000000030,ABRAND00834,2,0.21927076200889675,52.43,-114.42,active,30,0,False,unknown,2021-11-30 00:00:00,,,,,,False,,,,0.015151515151515152,7.1256999874909726,0.2268168257671619
ABRAND00184_0000000020,ABRAND00184,2,0.21919755956390563,54.65,-118.86,active,71,0,True,unknown,2021-10-20 00:00:00,2021-12-15 13:00:00,OGI,2.0,OGI,2021-12-15 13:00:00,False,,,1.0,0.01594896331738437,7.344897547054878,0.23379406235633518
ABRAND00165_0000000028,ABRAND00165,1,0.20653550056677417,55.6,-119.0,active,29,0,False,unknown,2021-12-01 00:00:00,,,,,,False,,,,0.01674641148325359,7.551433047621653,0.240368255309873
ABRAND00582_0000000029,ABRAND00582,1,0.20399920790687556,53.3,-115.4,active,8,0,False,unknown,2021-12-22 00:00:00,,,,,,False,,,,0.017543859649122806,7.755432255528528,0.24686171600533863
ABRAND00614_0000000028,ABRAND00614,3,0.19218109702789027,52.97,-115.27,active,9,0,False,unknown,2021-12-21 00:00:00,,,,,,False,,,,0.018341307814992026,7.947613352556418,0.25297899662013273
ABRAND00016_0000000029,ABRAND00016,3,0.1895632842953884,57.3,-119.9,active,18,0,False,unknown,2021-12-12 00:00:00,,,,,,False,,,,0.019138755980861243,8.137176636851807,0.2590129501266454
ABRAND01133_0000000035,ABRAND01133,3,0.1838164538141067,54.71,-110.71,active,23,0,True,unknown,2021-12-07 00:00:00,2021-12-19 10:30:00,OGI,3.0,OGI,2021-12-19 10:30:00,False,,,1.0,0.019936204146730464,8.320993090665914,0.2648639773451758
ABRAND00720_0000000015,ABRAND00720,1,0.1832534779160708,52.1,-114.84,active,43,0,False,unknown,2021-11-17 00:00:00,,,,,,False,,,,0.02073365231259968,8.504246568581983,0.2706970845830166
ABRAND00929_0000000023,ABRAND00929,3,0.18317150256124357,52.33,-114.19,active,17,0,False,unknown,2021-12-13 00:00:00,,,,,,False,,,,0.0215311004784689,8.687418071143227,0.2765275824786447
ABRAND00503_0000000024,ABRAND00503,4,0.18226718874446743,53.97,-115.71,active,65,0,True,unknown,2021-10-26 00:00:00,2021-12-23 10:30:00,OGI,1.0,OGI,2021-12-23 10:30:00,False,,,1.0,0.022328548644338118,8.869685259887694,0.2823292953300274
ABRAND00588_0000000034,ABRAND00588,1,0.17809779057890882,52.85,-115.38,active,1,0,False,unknown,2021-12-29 00:00:00,,,,,,False,,,,0.023125996810207338,9.047783050466602,0.2879982928469263
ABRAND01032_0000000033,ABRAND01032,1,0.16582233598378257,51.68,-113.26,active,18,0,False,unknown,2021-12-12 00:00:00,,,,,,False,,,,0.023923444976076555,9.213605386450386,0.2932765526607219
ABRAND00005_0000000019,ABRAND00005,1,0.1601426248080153,55.19,-119.95,active,45,0,False,unknown,2021-11-15 00:00:00,,,,,,False,,,,0.024720893141945775,9.373748011258401,0.2983740226486164
ABRAND00950_0000000021,ABRAND00950,1,0.1560100751637362,52.63,-114.14,active,25,0,False,unknown,2021-12-05 00:00:00,,,,,,False,,,,0.025518341307814992,9.529758086422138,0.3033399502204275
ABRAND00405_0000000020,ABRAND00405,2,0.15194368127670613,53.06,-115.97,active,15,0,False,unknown,2021-12-15 00:00:00,,,,,,False,,,,0.02631578947368421,9.681701767698843,0.3081764411677112
ABRAND00233_0000000032,ABRAND00233,3,0.1504043513271585,54.54,-118.55,active,18,0,False,unknown,2021-12-12 00:00:00,,,,,,False,,,,0.02711323763955343,9.832106119026003,0.31296393399079975
ABRAND01107_0000000022,ABRAND01107,1,0.15016652166910738,49.2,-111.08,active,32,0,False,unknown,2021-11-28 00:00:00,,,,,,False,,,,0.027910685805422646,9.98227264069511,0.3177438565024512
ABRAND00261_0000000033,ABRAND00261,1,0.140018022772309,54.06,-117.65,active,17,0,False,unknown,2021-12-13 00:00:00,,,,,,False,,,,0.028708133971291867,10.12229066346742,0.32220074404068055
ABRAND00493_0000000031,ABRAND00493,2,0.1376058169012182,52.48,-115.74,active,7,0,False,unknown,2021-12-23 00:00:00,,,,,,False,,,,0.029505582137161084,10.259896480368637,0.32658084910424234
ABRAND00467_0000000025,ABRAND00467,1,0.1363909880342521,53.5,-115.82,active,0,0,False,unknown,2021-12-30 00:00:00,,,,,,False,,,,0.030303030303030304,10.396287468402889,0.3309222851769767
ABRAND01035_0000000036,ABRAND01035,1,0.13538339200783617,56.1,-113.23,active,59,0,True,unknown,2021-11-01 00:00:00,2021-12-18 10:30:00,OGI,1.0,OGI,2021-12-18 10:30:00,False,,,1.0,0.03110047846889952,10.531670860410726,0.33523164864873595
ABRAND00541_0000000032,ABRAND00541,5,0.128960476279193,52.83,-115.59,active,24,0,False,unknown,2021-12-06 00:00:00,,,,,,False,,,,0.03189792663476874,10.660631336689919,0.3393365654892451
ABRAND00203_0000000027,ABRAND00203,2,0.12836925370236657,54.37,-118.75,active,168,0,False,unknown,2021-07-15 00:00:00,,,,,,False,,,0.0,0.03269537480063796,10.789000590392286,0.3434226632343065
ABRAND00181_0000000033,ABRAND00181,2,0.12829326315506828,54.38,-118.89,active,15,0,False,unknown,2021-12-15 00:00:00,,,,,,False,,,,0.03349282296650718,10.917293853547354,0.34750634213844595
