datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,verification_cost,natural_redund_tags,natural_n_tags,OGI_prop_sites_avail,OGI_cost,OGI_sites_visited,OGI_travel_time,OGI_survey_time,OGI_redund_tags,OGI_missed_leaks,OGI_sites_vis_w_leaks,OGI_eff_flags,OGI_n_tags,OGI_flags_redund1,OGI_flags_redund2,OGI_flag_wo_vent
2017-01-01,3270,17.0,17.0,7.395947426067908,10.0,13078.230109207632,7400.0,2000.0,0.0,0.0,10.0,0.714,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,12.0,0.0,0.0,0.0
2017-01-02,3277,8.0,8.0,15.391566265060241,23.0,13085.86725597171,8000.0,2600.0,0.0,0.0,13.0,0.714,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,14.0,0.0,0.0,0.0
2017-01-03,3272,16.0,16.0,23.387185104052573,36.0,13079.715507972867,8000.0,2600.0,0.0,0.0,13.0,0.378,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,13.0,0.0,0.0,0.0
2017-01-04,3275,22.0,22.0,33.18181818181819,58.0,13049.550559734675,9800.0,4400.0,0.0,0.0,22.0,0.11,5400.0,9.0,360.0,1080.0,0.0,0.0,6.0,0.0,13.0,0.0,0.0,0.0
2017-01-05,3275,12.0,12.0,41.77710843373494,74.0,13073.568183550287,8600.0,3200.0,0.0,0.0,16.0,0.36,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,12.0,0.0,0.0,0.0
2017-01-06,3271,14.0,14.0,49.97261774370209,88.0,13019.50608801924,8200.0,2800.0,0.0,0.0,14.0,1.0,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,15.0,0.0,0.0,0.0
2017-01-07,3271,16.0,16.0,57.16867469879517,97.0,13092.611663051679,7200.0,1800.0,0.0,0.0,9.0,0.89,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,14.0,0.0,0.0,0.0
2017-01-08,3278,21.0,21.0,65.1642935377875,110.0,13109.319802351887,8000.0,2600.0,0.0,0.0,13.0,1.0,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,14.0,0.0,0.0,0.0
2017-01-09,3286,11.0,11.0,72.96002190580504,122.0,13116.467810202295,7800.0,2400.0,0.0,0.0,12.0,0.0,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,12.0,0.0,0.0,0.0
2017-01-10,3285,11.0,11.0,80.35596933187294,132.0,13143.099921288582,7400.0,2000.0,0.0,0.0,10.0,0.286,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,20.0,0.0,0.0,0.0
2017-01-11,3286,20.0,20.0,88.7513691128149,147.0,13315.344768679566,8400.0,3000.0,0.0,0.0,14.0,0.0,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,21.0,0.0,0.0,0.0
2017-01-12,3291,18.0,18.0,96.94687842278204,161.0,13366.384758961736,8200.0,2800.0,0.0,0.0,14.0,0.732,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,14.0,0.0,0.0,0.0
2017-01-13,3295,16.0,16.0,105.94194961664842,179.0,13291.884358374351,9000.0,3600.0,0.0,0.0,17.0,0.092,5400.0,9.0,360.0,1080.0,0.0,0.0,9.0,0.0,16.0,0.0,0.0,0.0
2017-01-14,3293,13.0,13.0,114.53723986856518,195.0,13272.690172473387,8600.0,3200.0,0.0,0.0,14.0,0.092,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,16.0,0.0,0.0,0.0
2017-01-15,3290,20.0,20.0,124.13198247535598,216.0,13270.519058127333,9600.0,4200.0,0.0,0.0,21.0,0.714,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,17.0,0.0,0.0,0.0
2017-01-16,3289,14.0,14.0,133.12705366922233,234.0,13273.123849612477,9000.0,3600.0,0.0,0.0,16.0,0.714,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,13.0,0.0,0.0,0.0
2017-01-17,3285,8.0,8.0,143.32146768893756,258.0,13196.732363944375,10200.0,4800.0,0.0,0.0,13.0,0.092,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,18.0,0.0,0.0,0.0
2017-01-18,3269,13.0,13.0,154.51533406352684,287.0,12911.952019876639,11200.0,5800.0,0.0,0.0,13.0,0.092,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0
2017-01-19,3253,10.0,10.0,166.50876232201531,320.0,12770.565406533422,12000.0,6600.0,0.0,0.0,18.0,0.91,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,11.0,0.0,0.0,0.0
2017-01-20,3230,9.0,9.0,178.70208105147864,354.0,12531.667197209386,12200.0,6800.0,0.0,0.0,19.0,1.0,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,11.0,0.0,0.0,0.0
2017-01-21,3205,10.0,10.0,187.89704271631985,373.0,12460.28143723275,9200.0,3800.0,0.0,0.0,7.0,0.002,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,14.0,0.0,0.0,0.0
2017-01-22,3196,10.0,10.0,199.29079956188392,403.0,12292.17263489141,11400.0,6000.0,0.0,0.0,15.0,0.002,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,18.0,0.0,0.0,0.0
2017-01-23,3176,15.0,15.0,209.88499452354873,429.0,12316.079369154077,10600.0,5200.0,0.0,0.0,12.0,0.092,5400.0,9.0,360.0,1080.0,0.0,0.0,6.0,0.0,13.0,0.0,0.0,0.0
2017-01-24,3165,16.0,16.0,219.67962760131434,451.0,12314.027806362641,9800.0,4400.0,0.0,0.0,10.0,0.27,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,12.0,0.0,0.0,0.0
2017-01-25,3159,11.0,11.0,229.87404162102956,475.0,12233.261812335122,10200.0,4800.0,0.0,0.0,11.0,0.714,5400.0,9.0,360.0,1080.0,0.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0
2017-01-26,3146,11.0,11.0,242.6670317634173,512.0,11978.785254626273,12800.0,7400.0,0.0,0.0,16.0,0.624,5400.0,9.0,360.0,1080.0,0.0,0.0,9.0,0.0,19.0,0.0,0.0,0.0
2017-01-27,3120,14.0,14.0,254.46056955093098,544.0,11755.476569966439,11800.0,6400.0,0.0,0.0,13.0,0.714,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,17.0,0.0,0.0,0.0
2017-01-28,3102,5.0,5.0,265.6544359255203,573.0,11629.911419556844,11200.0,5800.0,0.0,0.0,13.0,0.982,5400.0,9.0,360.0,1080.0,0.0,0.0,9.0,0.0,20.0,0.0,0.0,0.0
2017-01-29,3078,14.0,14.0,276.04874041621025,598.0,11483.679349357779,10400.0,5000.0,0.0,0.0,9.0,0.0,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,14.0,0.0,0.0,0.0
2017-01-30,3067,19.0,19.0,287.44249726177435,628.0,11335.579174171586,11400.0,6000.0,0.0,0.0,14.0,0.712,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,14.0,0.0,0.0,0.0
2017-01-31,3056,15.0,15.0,298.236582694414,655.0,11013.8977953599,10800.0,5400.0,0.0,0.0,13.0,0.908,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,10.0,0.0,0.0,0.0
2017-02-01,3044,17.0,17.0,308.0312157721796,677.0,10927.427269558102,9800.0,4400.0,0.0,0.0,10.0,0.002,5400.0,9.0,360.0,1080.0,0.0,0.0,9.0,0.0,18.0,0.0,0.0,0.0
2017-02-02,3039,12.0,12.0,319.2250821467689,706.0,10744.593847786511,11200.0,5800.0,0.0,0.0,10.0,0.378,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,13.0,0.0,0.0,0.0
