datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,verification_cost,natural_redund_tags,natural_n_tags,OGI_prop_sites_avail,OGI_cost,OGI_sites_visited,OGI_travel_time,OGI_survey_time,OGI_redund_tags,OGI_missed_leaks,OGI_sites_vis_w_leaks,OGI_eff_flags,OGI_n_tags,OGI_flags_redund1,OGI_flags_redund2,OGI_flag_wo_vent
2017-01-01,3263,19.0,19.0,9.194961664841182,19.0,13689.5621672727,9200.0,3800.0,0.0,0.0,19.0,0.718,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,18.0,0.0,0.0,0.0
2017-01-02,3263,14.0,14.0,17.790251916757942,35.0,13702.812403657921,8600.0,3200.0,0.0,0.0,16.0,0.718,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,18.0,0.0,0.0,0.0
2017-01-03,3261,19.0,19.0,25.585980284775463,47.0,13716.210154599577,7800.0,2400.0,0.0,0.0,12.0,0.356,5400.0,9.0,360.0,1080.0,0.0,0.0,6.0,0.0,11.0,0.0,0.0,0.0
2017-01-04,3268,12.0,12.0,32.98192771084337,57.0,13695.680458691111,7400.0,2000.0,0.0,0.0,10.0,0.09,5400.0,9.0,360.0,1080.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0
2017-01-05,3270,20.0,20.0,41.97699890470975,75.0,13632.043698030438,9000.0,3600.0,0.0,0.0,18.0,0.34,5400.0,9.0,360.0,1080.0,0.0,0.0,6.0,0.0,12.0,0.0,0.0,0.0
2017-01-06,3272,13.0,13.0,50.17250821467689,89.0,13648.492045067926,8200.0,2800.0,0.0,0.0,14.0,1.0,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,15.0,0.0,0.0,0.0
2017-01-07,3271,18.0,18.0,58.967688937568454,106.0,13591.382828618716,8800.0,3400.0,0.0,0.0,17.0,0.91,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,10.0,0.0,0.0,0.0
2017-01-08,3272,21.0,21.0,66.96330777656078,119.0,13549.101237642099,8000.0,2600.0,0.0,0.0,12.0,1.0,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0
2017-01-09,3280,12.0,12.0,75.55859802847755,135.0,13503.900511349595,8600.0,3200.0,0.0,0.0,16.0,0.0,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,13.0,0.0,0.0,0.0
2017-01-10,3276,11.0,11.0,84.75355969331873,154.0,13616.676091035095,9200.0,3800.0,0.0,0.0,19.0,0.282,5400.0,9.0,360.0,1080.0,0.0,0.0,9.0,0.0,17.0,0.0,0.0,0.0
2017-01-11,3268,17.0,17.0,92.74917853231105,167.0,13674.76900904085,8000.0,2600.0,0.0,0.0,13.0,0.0,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,19.0,0.0,0.0,0.0
2017-01-12,3272,16.0,16.0,99.94523548740418,176.0,13657.194773198418,7200.0,1800.0,0.0,0.0,8.0,0.734,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,14.0,0.0,0.0,0.0
