datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,verification_cost,natural_redund_tags,natural_n_tags
2017-01-01,1632,11.0,11.0,2.3986856516976998,12.0,8152.145686612239,2400.0,2400.0,0.0,0.0,12.0
2017-01-02,1631,21.0,21.0,5.397042716319825,27.0,7923.843638755682,3000.0,3000.0,0.0,0.0,15.0
2017-01-03,1637,17.0,17.0,7.995618838992333,40.0,7970.553260625478,2600.0,2600.0,0.0,0.0,13.0
2017-01-04,1641,12.0,12.0,10.594194961664842,53.0,8028.782335882098,2600.0,2600.0,0.0,0.0,13.0
2017-01-05,1640,21.0,21.0,13.792442497261774,69.0,7983.343233993131,3200.0,3200.0,0.0,0.0,16.0
2017-01-06,1645,13.0,13.0,15.791347207009858,79.0,7967.643620284012,2000.0,2000.0,0.0,0.0,10.0
2017-01-07,1648,4.0,4.0,17.590361445783135,88.0,7942.641423104624,1800.0,1800.0,0.0,0.0,9.0
2017-01-08,1643,18.0,18.0,21.38828039430449,107.0,7916.480539429144,3800.0,3800.0,0.0,0.0,19.0
2017-01-09,1642,14.0,14.0,25.186199342825848,126.0,7904.399971357537,3800.0,3800.0,0.0,0.0,19.0
2017-01-10,1637,12.0,12.0,28.18455640744797,141.0,7902.448059530507,3000.0,3000.0,0.0,0.0,15.0
2017-01-11,1634,11.0,11.0,30.783132530120483,154.0,7859.445607592366,2600.0,2600.0,0.0,0.0,13.0
2017-01-12,1632,14.0,14.0,34.78094194961665,174.0,7874.086044258243,4000.0,4000.0,0.0,0.0,20.0
2017-01-13,1626,13.0,13.0,36.77984665936473,184.0,7841.952159846022,2000.0,2000.0,0.0,0.0,10.0
2017-01-14,1629,19.0,19.0,39.178532311062426,196.0,7872.648465734346,2400.0,2400.0,0.0,0.0,12.0
2017-01-15,1636,11.0,11.0,41.77710843373494,209.0,7868.871723776782,2600.0,2600.0,0.0,0.0,13.0
2017-01-16,1634,15.0,15.0,43.77601314348303,219.0,7865.446899220706,2000.0,2000.0,0.0,0.0,10.0
2017-01-17,1639,9.0,9.0,45.97480832420592,230.0,7861.818376397641,2200.0,2200.0,0.0,0.0,11.0
2017-01-18,1637,18.0,18.0,48.57338444687843,243.0,7834.31506244317,2600.0,2600.0,0.0,0.0,13.0
2017-01-19,1642,15.0,15.0,51.37185104052573,257.0,7783.659417235381,2800.0,2800.0,0.0,0.0,14.0
2017-01-20,1643,13.0,13.0,54.17031763417305,271.0,7849.9965977021,2800.0,2800.0,0.0,0.0,14.0
2017-01-21,1642,19.0,19.0,57.76834611171961,289.0,7621.433327361493,3600.0,3600.0,0.0,0.0,18.0
