leak_ID,facility_ID,equipment_group,rate,lat,lon,status,days_active,days_active_prog_start,tagged,component,date_began,date_tagged,tagged_by_company,tagged_by_crew,init_detect_by,init_detect_date,requires_shutdown,date_repaired,repair_delay,cum_frac_leaks,cum_rate,cum_frac_rate
ABRAND00314_0000000002,ABRAND00314,2,1.890415009759544,54.26,-116.33,active,219,0,False,unknown,2021-05-25,,,,,,False,,,0.0,1.890415009759544,0.08258428878800222
ABRAND00388_0000000002,ABRAND00388,2,0.7202478056618509,53.83,-116.01,active,102,0,False,unknown,2021-09-19,,,,,,False,,,0.0019455252918287938,2.610662815421395,0.11404888914010641
ABRAND00360_0000000006,ABRAND00360,1,0.43960065689856065,52.99,-116.12,active,329,0,False,unknown,2021-02-04,,,,,,False,,,0.0038910505836575876,3.0502634723199558,0.1332531947625655
ABRAND00049_0000000009,ABRAND00049,1,0.3894904840977721,54.88,-119.71,active,287,0,False,unknown,2021-03-18,,,,,,False,,,0.005836575875486381,3.4397539564177277,0.15026839748411
ABRAND00794_0000000010,ABRAND00794,1,0.38910506555636926,52.64,-114.52,active,190,0,False,unknown,2021-06-23,,,,,,False,,,0.007782101167315175,3.8288590219740968,0.16726676288900016
ABRAND00593_0000000001,ABRAND00593,2,0.3815508254361976,53.04,-115.36,active,229,0,False,unknown,2021-05-15,,,,,,False,,,0.009727626459143969,4.210409847410294,0.1839351152838172
ABRAND00810_0000000009,ABRAND00810,1,0.3491267474429251,52.69,-114.47,active,228,0,False,unknown,2021-05-16,,,,,,False,,,0.011673151750972763,4.55953659485322,0.19918699594789946
ABRAND00910_0000000008,ABRAND00910,1,0.304472438636142,52.85,-114.24,active,304,0,False,unknown,2021-03-01,,,,,,False,,,0.013618677042801557,4.864009033489362,0.21248811748497018
ABRAND00390_0000000002,ABRAND00390,3,0.30384409474871166,53.88,-116.01,active,357,0,False,unknown,2021-01-07,,,,,,False,,,0.01556420233463035,5.1678531282380735,0.22576178931772212
ABRAND00957_0000000008,ABRAND00957,1,0.30046153251660934,52.9,-114.12,active,162,0,False,unknown,2021-07-21,,,,,,False,,,0.017509727626459144,5.468314660754682,0.23888769121912182
ABRAND00046_0000000006,ABRAND00046,1,0.29475404901068797,56.03,-119.71,active,285,0,False,unknown,2021-03-20,,,,,,False,,,0.019455252918287938,5.763068709765371,0.2517642571473768
ABRAND00700_0000000005,ABRAND00700,2,0.270229883279251,52.87,-114.98,active,46,0,False,unknown,2021-11-14,,,,,,False,,,0.021400778210116732,6.033298593044622,0.26356946531842307
ABRAND01000_0000000007,ABRAND01000,4,0.26917637130954886,52.84,-113.93,active,197,0,False,unknown,2021-06-16,,,,,,False,,,0.023346303501945526,6.302474964354171,0.2753286499780719
ABRAND00819_0000000001,ABRAND00819,4,0.25989465084241,52.52,-114.45,active,254,0,False,unknown,2021-04-20,,,,,,False,,,0.02529182879377432,6.562369615196581,0.28668235526967173
ABRAND00068_0000000004,ABRAND00068,2,0.25883025582054614,57.4,-119.6,active,212,0,False,unknown,2021-06-01,,,,,,False,,,0.027237354085603113,6.821199871017127,0.29798956161505263
ABRAND00186_0000000003,ABRAND00186,1,0.24131757392199168,54.34,-118.86,active,75,0,False,unknown,2021-10-16,,,,,,False,,,0.029182879377431907,7.062517444939118,0.30853171247161437
ABRAND00862_0000000003,ABRAND00862,1,0.22128499806017238,52.82,-114.33,active,201,0,False,unknown,2021-06-12,,,,,,False,,,0.0311284046692607,7.28380244299929,0.31819872425998263
ABRAND00758_0000000010,ABRAND00758,4,0.21605724527210982,52.95,-114.66,active,340,0,False,unknown,2021-01-24,,,,,,False,,,0.033073929961089495,7.4998596882714,0.3276373574945768
