datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,verification_cost,natural_redund_tags,natural_n_tags
2017-01-01,489,0.0,0.0,0.0,0.0,1680.596465038719,0.0,0.0,0.0,0.0,0.0
2017-01-02,489,2.0,2.0,0.3997809419496166,2.0,1686.1521668146356,400.0,400.0,0.0,0.0,2.0
2017-01-03,489,1.0,1.0,0.7995618838992332,4.0,1678.1337662223668,400.0,400.0,0.0,0.0,2.0
2017-01-04,488,1.0,1.0,1.1993428258488499,6.0,1664.1627363629755,400.0,400.0,0.0,0.0,2.0
2017-01-05,487,2.0,2.0,1.5991237677984664,8.0,1699.8827755980178,400.0,400.0,0.0,0.0,2.0
2017-01-06,487,1.0,1.0,1.7990142387732748,9.0,1739.6413430876341,200.0,200.0,0.0,0.0,1.0
2017-01-07,487,3.0,3.0,2.3986856516976998,12.0,1741.8116518691163,600.0,600.0,0.0,0.0,3.0
2017-01-08,487,3.0,3.0,2.7984665936473165,14.0,1755.997152361267,400.0,400.0,0.0,0.0,2.0
2017-01-09,488,2.0,2.0,2.7984665936473165,14.0,1756.6734377366313,0.0,0.0,0.0,0.0,0.0
2017-01-10,490,1.0,1.0,3.3981380065717417,17.0,1795.2317343802335,600.0,600.0,0.0,0.0,3.0
2017-01-11,488,2.0,2.0,3.9978094194961664,20.0,1795.700155929564,600.0,600.0,0.0,0.0,3.0
2017-01-12,487,1.0,1.0,4.397590361445784,22.0,1812.7733599876615,400.0,400.0,0.0,0.0,2.0
2017-01-13,486,1.0,1.0,4.997261774370209,25.0,1806.0096342349202,600.0,600.0,0.0,0.0,3.0
2017-01-14,484,1.0,1.0,5.197152245345016,26.0,1805.8936653836367,200.0,200.0,0.0,0.0,1.0
2017-01-15,484,0.0,0.0,5.197152245345016,26.0,1805.8936653836367,0.0,0.0,0.0,0.0,0.0
2017-01-16,484,1.0,1.0,5.596933187294633,28.0,1811.998134198157,400.0,400.0,0.0,0.0,2.0
2017-01-17,483,2.0,2.0,5.596933187294633,28.0,1827.8784809069898,0.0,0.0,0.0,0.0,0.0
2017-01-18,485,2.0,2.0,6.196604600219058,31.0,1824.2362809234614,600.0,600.0,0.0,0.0,3.0
2017-01-19,484,1.0,1.0,6.596385542168675,33.0,1823.5181382496417,400.0,400.0,0.0,0.0,2.0
2017-01-20,483,3.0,3.0,6.796276013143483,34.0,1825.9338619331684,200.0,200.0,0.0,0.0,1.0
2017-01-21,485,3.0,3.0,7.196056955093099,36.0,1838.1855150202055,400.0,400.0,0.0,0.0,2.0
