datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,verification_cost,natural_redund_tags,natural_n_tags
2017-01-01,479,1.0,1.0,0.3997809419496166,2.0,1924.1892969940197,400.0,400.0,0.0,0.0,2.0
2017-01-02,478,3.0,3.0,0.7995618838992332,4.0,1912.9709546886777,400.0,400.0,0.0,0.0,2.0
2017-01-03,479,1.0,1.0,0.9994523548740416,5.0,1912.577873990794,200.0,200.0,0.0,0.0,1.0
2017-01-04,479,2.0,2.0,1.1993428258488499,6.0,1910.4898045766752,200.0,200.0,0.0,0.0,1.0
2017-01-05,480,3.0,3.0,1.1993428258488499,6.0,1913.0323988404587,0.0,0.0,0.0,0.0,0.0
2017-01-06,483,0.0,0.0,1.3992332968236583,7.0,1912.7019829374292,200.0,200.0,0.0,0.0,1.0
2017-01-07,482,2.0,2.0,1.5991237677984664,8.0,1911.733576309999,200.0,200.0,0.0,0.0,1.0
2017-01-08,483,2.0,2.0,1.7990142387732748,9.0,1909.9401784457289,200.0,200.0,0.0,0.0,1.0
2017-01-09,484,0.0,0.0,1.7990142387732748,9.0,1909.9401784457289,0.0,0.0,0.0,0.0,0.0
2017-01-10,484,4.0,4.0,1.7990142387732748,9.0,1921.920923606858,0.0,0.0,0.0,0.0,0.0
2017-01-11,488,3.0,3.0,1.9989047097480832,10.0,1921.549723056625,200.0,200.0,0.0,0.0,1.0
2017-01-12,490,1.0,1.0,1.9989047097480832,10.0,1922.762460243202,0.0,0.0,0.0,0.0,0.0
2017-01-13,491,0.0,0.0,1.9989047097480832,10.0,1922.762460243202,0.0,0.0,0.0,0.0,0.0
2017-01-14,491,3.0,3.0,2.198795180722892,11.0,1927.5993695104555,200.0,200.0,0.0,0.0,1.0
2017-01-15,493,2.0,2.0,2.998357064622125,15.0,1923.3155762693118,800.0,800.0,0.0,0.0,4.0
2017-01-16,491,0.0,0.0,3.198247535596933,16.0,1922.9300762723653,200.0,200.0,0.0,0.0,1.0
2017-01-17,490,0.0,0.0,3.198247535596933,16.0,1922.9300762723653,0.0,0.0,0.0,0.0,0.0
2017-01-18,490,1.0,1.0,3.198247535596933,16.0,1927.7763688932596,0.0,0.0,0.0,0.0,0.0
2017-01-19,491,2.0,2.0,3.198247535596933,16.0,1929.9665679587958,0.0,0.0,0.0,0.0,0.0
2017-01-20,493,4.0,4.0,3.198247535596933,16.0,1944.8847740740775,0.0,0.0,0.0,0.0,0.0
2017-01-21,497,1.0,1.0,3.3981380065717417,17.0,1943.6122132306953,200.0,200.0,0.0,0.0,1.0
2017-01-22,497,3.0,3.0,3.5980284775465496,18.0,1942.5116129993442,200.0,200.0,0.0,0.0,1.0
2017-01-23,499,1.0,1.0,3.5980284775465496,18.0,1942.7448602115833,0.0,0.0,0.0,0.0,0.0
2017-01-24,500,3.0,3.0,3.5980284775465496,18.0,2014.7866297406736,0.0,0.0,0.0,0.0,0.0
2017-01-25,503,0.0,0.0,3.5980284775465496,18.0,2014.7866297406736,0.0,0.0,0.0,0.0,0.0
2017-01-26,503,1.0,1.0,3.797918948521358,19.0,2000.5895673089124,200.0,200.0,0.0,0.0,1.0
2017-01-27,503,3.0,3.0,3.9978094194961664,20.0,2001.1701378058128,200.0,200.0,0.0,0.0,1.0
2017-01-28,505,0.0,0.0,4.397590361445784,22.0,1996.44184233574,400.0,400.0,0.0,0.0,2.0
2017-01-29,503,3.0,3.0,4.7973713033953995,24.0,2005.3859021645053,400.0,400.0,0.0,0.0,2.0
2017-01-30,504,2.0,2.0,5.197152245345016,26.0,2000.0126317101212,400.0,400.0,0.0,0.0,2.0
2017-01-31,504,2.0,2.0,5.397042716319825,27.0,2004.7575415994602,200.0,200.0,0.0,0.0,1.0
2017-02-01,505,1.0,1.0,5.596933187294633,28.0,2054.3991253126565,200.0,200.0,0.0,0.0,1.0
2017-02-02,505,1.0,1.0,5.99671412924425,30.0,2053.9137123672076,400.0,400.0,0.0,0.0,2.0
2017-02-03,504,1.0,1.0,6.396495071193866,32.0,2051.971122363771,400.0,400.0,0.0,0.0,2.0
2017-02-04,503,2.0,2.0,6.796276013143483,34.0,2052.6926302213233,400.0,400.0,0.0,0.0,2.0
2017-02-05,503,0.0,0.0,6.996166484118292,35.0,2049.313979675039,200.0,200.0,0.0,0.0,1.0
2017-02-06,502,2.0,2.0,6.996166484118292,35.0,2057.1864129840937,0.0,0.0,0.0,0.0,0.0
2017-02-07,504,0.0,0.0,7.196056955093099,36.0,2054.5404602780377,200.0,200.0,0.0,0.0,1.0
2017-02-08,503,1.0,1.0,7.595837897042716,38.0,2052.6209691158742,400.0,400.0,0.0,0.0,2.0
2017-02-09,502,2.0,2.0,7.995618838992333,40.0,2024.3835049778334,400.0,400.0,0.0,0.0,2.0
2017-02-10,502,1.0,1.0,8.195509309967141,41.0,2012.425256586107,200.0,200.0,0.0,0.0,1.0
2017-02-11,502,4.0,4.0,8.595290251916758,43.0,2013.7271676202174,400.0,400.0,0.0,0.0,2.0
2017-02-12,504,1.0,1.0,9.39485213581599,47.0,1931.8026355219565,800.0,800.0,0.0,0.0,4.0
2017-02-13,501,0.0,0.0,9.39485213581599,47.0,1931.8026355219565,0.0,0.0,0.0,0.0,0.0
2017-02-14,501,1.0,1.0,9.39485213581599,47.0,1931.997000519518,0.0,0.0,0.0,0.0,0.0
2017-02-15,502,0.0,0.0,9.39485213581599,47.0,1931.997000519518,0.0,0.0,0.0,0.0,0.0
2017-02-16,502,0.0,0.0,9.794633077765607,49.0,1897.7512423073745,400.0,400.0,0.0,0.0,2.0
2017-02-17,500,1.0,1.0,9.794633077765607,49.0,1907.9110009937494,0.0,0.0,0.0,0.0,0.0
2017-02-18,501,1.0,1.0,9.994523548740418,50.0,1908.0790996430535,200.0,200.0,0.0,0.0,1.0
2017-02-19,501,5.0,5.0,10.79408543263965,54.0,1933.6655887872857,800.0,800.0,0.0,0.0,4.0
