datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,verification_cost,natural_redund_tags,natural_n_tags
2017-01-01,1648,8.0,8.0,1.3992332968236583,7.0,6665.863368349095,1400.0,1400.0,0.0,0.0,7.0
2017-01-02,1649,7.0,7.0,1.9989047097480832,10.0,6672.594338371764,600.0,600.0,0.0,0.0,3.0
2017-01-03,1653,6.0,6.0,2.7984665936473165,14.0,6720.891797361968,800.0,800.0,0.0,0.0,4.0
2017-01-04,1655,6.0,6.0,3.9978094194961664,20.0,6751.547786768237,1200.0,1200.0,0.0,0.0,6.0
2017-01-05,1655,4.0,4.0,4.997261774370209,25.0,6775.225674418901,1000.0,1000.0,0.0,0.0,5.0
2017-01-06,1654,9.0,9.0,6.396495071193866,32.0,6786.264304789961,1400.0,1400.0,0.0,0.0,7.0
2017-01-07,1656,7.0,7.0,7.7957283680175244,39.0,6781.74519070755,1400.0,1400.0,0.0,0.0,7.0
2017-01-08,1656,3.0,3.0,8.995071193866375,45.0,6779.268933892841,1200.0,1200.0,0.0,0.0,6.0
2017-01-09,1653,7.0,7.0,10.394304490690033,52.0,6758.946220663868,1400.0,1400.0,0.0,0.0,7.0
2017-01-10,1653,7.0,7.0,11.79353778751369,59.0,6765.577039088291,1400.0,1400.0,0.0,0.0,7.0
2017-01-11,1653,11.0,11.0,12.992880613362543,65.0,6744.072471656417,1200.0,1200.0,0.0,0.0,6.0
2017-01-12,1658,5.0,5.0,14.392113910186199,72.0,6747.968929929972,1400.0,1400.0,0.0,0.0,7.0
2017-01-13,1656,5.0,5.0,15.991237677984666,80.0,6651.063163037625,1600.0,1600.0,0.0,0.0,8.0
2017-01-14,1653,9.0,9.0,17.390470974808323,87.0,6668.075384964281,1400.0,1400.0,0.0,0.0,7.0
2017-01-15,1655,7.0,7.0,19.38937568455641,97.0,6627.054199013395,2000.0,2000.0,0.0,0.0,10.0
2017-01-16,1652,6.0,6.0,21.188389923329684,106.0,6617.777328622904,1800.0,1800.0,0.0,0.0,9.0
2017-01-17,1649,4.0,4.0,22.787513691128147,114.0,6583.676600302094,1600.0,1600.0,0.0,0.0,8.0
2017-01-18,1645,4.0,4.0,24.786418400876233,124.0,6552.7236855541905,2000.0,2000.0,0.0,0.0,10.0
2017-01-19,1639,11.0,11.0,25.585980284775463,128.0,6586.579220418984,800.0,800.0,0.0,0.0,4.0
2017-01-20,1646,9.0,9.0,26.585432639649508,133.0,6643.806885873751,1000.0,1000.0,0.0,0.0,5.0
2017-01-21,1650,6.0,6.0,28.384446878422782,142.0,6652.265210038735,1800.0,1800.0,0.0,0.0,9.0
2017-01-22,1647,6.0,6.0,30.783132530120483,154.0,6579.487459168953,2400.0,2400.0,0.0,0.0,12.0
2017-01-23,1641,5.0,5.0,31.582694414019716,158.0,6542.989314000369,800.0,800.0,0.0,0.0,4.0
2017-01-24,1642,5.0,5.0,31.582694414019716,158.0,6561.1967038448465,0.0,0.0,0.0,0.0,0.0
2017-01-25,1647,9.0,9.0,32.98192771084337,165.0,6529.534036677589,1400.0,1400.0,0.0,0.0,7.0
2017-01-26,1649,6.0,6.0,35.18072289156627,176.0,6444.36975757887,2200.0,2200.0,0.0,0.0,11.0
2017-01-27,1644,8.0,8.0,36.77984665936473,184.0,6418.710886612207,1600.0,1600.0,0.0,0.0,8.0
2017-01-28,1644,8.0,8.0,39.57831325301205,198.0,6383.378826637124,2800.0,2800.0,0.0,0.0,14.0
2017-01-29,1638,11.0,11.0,40.7776560788609,204.0,6368.36595899222,1200.0,1200.0,0.0,0.0,6.0
2017-01-30,1643,8.0,8.0,42.77656078860898,214.0,6368.886081123902,2000.0,2000.0,0.0,0.0,10.0
2017-01-31,1641,10.0,10.0,44.775465498357065,224.0,6425.746650907704,2000.0,2000.0,0.0,0.0,10.0
2017-02-01,1641,9.0,9.0,45.575027382256295,228.0,6442.746099885517,800.0,800.0,0.0,0.0,4.0
2017-02-02,1646,7.0,7.0,47.17415115005476,236.0,6444.015787183439,1600.0,1600.0,0.0,0.0,8.0
2017-02-03,1645,7.0,7.0,48.173603504928806,241.0,6493.286487370729,1000.0,1000.0,0.0,0.0,5.0
2017-02-04,1647,6.0,6.0,49.77272727272727,249.0,6509.866999681376,1600.0,1600.0,0.0,0.0,8.0
2017-02-05,1645,1.0,1.0,51.57174151150055,258.0,6479.837836986346,1800.0,1800.0,0.0,0.0,9.0
2017-02-06,1637,5.0,5.0,55.369660460021905,277.0,6449.255760961548,3800.0,3800.0,0.0,0.0,19.0
2017-02-07,1623,4.0,4.0,57.16867469879517,286.0,6426.775138760199,1800.0,1800.0,0.0,0.0,9.0
2017-02-08,1618,7.0,7.0,58.168127053669224,291.0,6444.125570449738,1000.0,1000.0,0.0,0.0,5.0
2017-02-09,1620,9.0,9.0,59.367469879518076,297.0,6454.153744534549,1200.0,1200.0,0.0,0.0,6.0
2017-02-10,1623,8.0,8.0,60.167031763417306,301.0,6459.590667112278,800.0,800.0,0.0,0.0,4.0
2017-02-11,1627,4.0,4.0,61.96604600219059,310.0,6473.2001178220435,1800.0,1800.0,0.0,0.0,9.0
2017-02-12,1622,10.0,10.0,63.16538882803943,316.0,6502.367151666603,1200.0,1200.0,0.0,0.0,6.0
2017-02-13,1626,2.0,2.0,64.56462212486308,323.0,6491.265496093353,1400.0,1400.0,0.0,0.0,7.0
2017-02-14,1621,11.0,11.0,66.76341730558597,334.0,6476.104506833557,2200.0,2200.0,0.0,0.0,11.0
